pairID,uniqueID,sentenceID,homophoneVersion,homophoneID,sentenceType,wordPairVersion,m1,word,m1_relatedness,m2_relatedness
1,1,1,a,1,pun,m1,lion,circus,1.377983027,-0.630542589
2,1,1,a,1,pun,m1,lion,truck,-0.657045944,-0.412135754
3,1,1,a,1,pun,m1,lion,driver,-1.042229239,0.006942127
4,1,1,a,1,pun,m1,lion,refused,-0.803420041,-0.599020207
5,1,1,a,1,pun,m1,lion,tow,-0.878076745,-0.226590203
6,2,2,a,2,pun,m1,tooth,dentist,1.62355512,-0.565572904
7,2,2,a,2,pun,m1,tooth,tell,-0.768492084,0.804145346
8,2,2,a,2,pun,m1,tooth,patient,0.111725948,-0.432490434
9,2,2,a,2,pun,m1,tooth,whole,-0.322992663,0.752346196
10,3,3,a,3,pun,m1,cilia,handlebar,-0.820549264,-0.742520611
11,3,3,a,3,pun,m1,cilia,mustache,-0.010195246,-0.297709011
12,3,3,a,3,pun,m1,cilia,look,-0.923160237,-0.675208967
13,3,3,a,3,pun,m1,cilia,ridiculous,-0.950474383,1.151378004
14,3,3,a,3,pun,m1,cilia,symmetrical,-0.360338435,-0.683703022
15,3,3,a,3,pun,m1,cilia,eyelashes,-0.040038203,-0.681557747
16,3,3,a,3,pun,m1,cilia,even,-0.929999881,-0.727122625
17,4,4,a,4,pun,m1,heir,man,0.502701118,1.063789627
18,4,4,a,4,pun,m1,heir,used,-0.58932926,-0.569021165
19,4,4,a,4,pun,m1,heir,money,1.381728734,-0.374102282
20,4,4,a,4,pun,m1,heir,inherited,1.404774565,-0.190257313
21,4,4,a,4,pun,m1,heir,late,0.17890769,-0.845278073
22,4,4,a,4,pun,m1,heir,father,0.721817788,-0.413880798
23,4,4,a,4,pun,m1,heir,put,-0.62358598,-0.378372875
24,4,4,a,4,pun,m1,heir,addition,-0.382613152,-0.450466895
25,4,4,a,4,pun,m1,heir,house,-0.575083639,-0.768492084
26,4,4,a,4,pun,m1,heir,extension,-0.431374827,0.793788593
27,5,5,a,5,pun,m1,clothing,men's,0.854047774,-0.864343966
28,5,5,a,5,pun,m1,clothing,wear,1.273718445,-0.628833021
29,5,5,a,5,pun,m1,clothing,store,1.517614712,-0.019507567
30,5,5,a,5,pun,m1,clothing,opening,-0.389128151,1.277368953
31,5,5,a,5,pun,m1,clothing,times,-0.535653622,0.429658664
32,6,6,a,6,pun,m1,ambiance,paramedic,-0.892589298,0.382651093
33,6,6,a,6,pun,m1,ambiance,got,-0.57113356,-0.863688194
34,6,6,a,6,pun,m1,ambiance,new,-0.360169455,-0.906119465
35,6,6,a,6,pun,m1,ambiance,job,-0.696788693,0.562416838
36,6,6,a,6,pun,m1,ambiance,chauffeur,-0.314530643,-0.390131783
37,6,6,a,6,pun,m1,ambiance,driver,-0.543925855,0.841903822
38,7,7,a,7,pun,m1,perches,pet,0.543119058,-0.331846317
39,7,7,a,7,pun,m1,perches,store,-0.725018344,1.273688022
40,7,7,a,7,pun,m1,perches,bird,1.191686169,-0.501370858
41,7,7,a,7,pun,m1,perches,contest,-0.590919012,-0.562537662
42,7,7,a,7,pun,m1,perches,necessary,-0.823158985,0.120207237
43,8,8,a,8,pun,m1,reword,pun,-0.071790798,-0.787863724
44,9,9,a,9,pun,m1,math,rubber,-0.748391508,-0.582838844
45,9,9,a,9,pun,m1,math,band,-0.876819151,-0.749418744
46,9,9,a,9,pun,m1,math,pistol,-0.820549264,-0.736901481
47,9,9,a,9,pun,m1,math,confiscated,-0.577110797,-0.812923943
48,9,9,a,9,pun,m1,math,algebra,1.85746101,-0.518226951
49,9,9,a,9,pun,m1,math,class,1.118197093,-0.250535633
50,9,9,a,9,pun,m1,math,weapon,-0.317952911,0.460125844
51,9,9,a,9,pun,m1,math,disruption,-0.861675739,0.20398117
52,10,10,a,10,pun,m1,stealer,thief,1.548432432,0.538072559
53,10,10,a,10,pun,m1,stealer,stole,1.694467811,0.789595372
54,10,10,a,10,pun,m1,stealer,cutlery,-0.608574651,-0.228020166
55,10,10,a,10,pun,m1,stealer,leaving,-0.696696471,-0.827171198
56,10,10,a,10,pun,m1,stealer,clue,-0.367417642,-0.296696232
57,10,10,a,10,pun,m1,stealer,called,-0.73993729,-0.835115108
58,10,10,a,10,pun,m1,stealer,stainless,-0.72768653,-0.09379566
59,11,11,a,11,pun,m1,wicker,getting,-0.802963762,-0.791296213
60,11,11,a,11,pun,m1,wicker,pranked,-0.945886353,0.291268252
61,11,11,a,11,pun,m1,wicker,friends,-0.929679135,-0.555701691
62,11,11,a,11,pun,m1,wicker,getting,-0.645101213,-0.696201398
63,11,11,a,11,pun,m1,wicker,hit,-0.818366589,0.114935389
64,11,11,a,11,pun,m1,wicker,basket,1.40920629,-0.680156607
65,11,11,a,11,pun,m1,wicker,aron,-0.878076745,-0.754020104
66,11,11,a,11,pun,m1,wicker,knew,-0.853144038,-0.869254404
67,11,11,a,11,pun,m1,wicker,sense,-0.674633301,-0.379664444
68,11,11,a,11,pun,m1,wicker,humor,-0.696201398,0.643750513
69,12,12,a,12,pun,m1,spatial,aliens,-0.331103175,-0.179464204
70,12,12,a,12,pun,m1,spatial,lovable,-0.587589366,0.657898682
71,13,13,a,13,pun,m1,whirled,astronaut,-0.177755161,1.200440109
72,13,13,a,13,pun,m1,whirled,gets,-0.753138191,-0.625352039
73,13,13,a,13,pun,m1,whirled,take,-0.7778778,-0.602837689
74,13,13,a,13,pun,m1,whirled,turn,1.733512144,0.32137873
75,13,13,a,13,pun,m1,whirled,traveler,-0.69952321,1.104669659
76,14,14,a,14,pun,m1,caesars,young,-0.130802016,-0.574533178
77,14,14,a,14,pun,m1,caesars,boy,-0.347430465,-0.205619209
78,14,14,a,14,pun,m1,caesars,brutus',1.099729391,-0.870360782
79,14,14,a,14,pun,m1,caesars,mother,-0.768492084,-0.804208035
80,14,14,a,14,pun,m1,caesars,cautioned,-0.903392247,1.588185734
81,14,14,a,14,pun,m1,caesars,not,-0.787256892,-1.094772876
82,14,14,a,14,pun,m1,caesars,run,-0.820549264,0.124706242
83,15,15,a,15,pun,m1,launch,astronauts,1.866736686,-0.695418569
84,15,15,a,15,pun,m1,launch,like,-0.825180387,-0.335230617
85,16,16,a,16,pun,m1,bloom,flower,1.436927181,0.682043181
86,16,16,a,16,pun,m1,bloom,show,0.640303692,-0.593808778
87,16,16,a,16,pun,m1,bloom,prize,-0.481246649,-0.274261135
88,16,16,a,16,pun,m1,bloom,ribbon,-0.507494658,0.79998026
89,17,17,a,17,pun,m1,flea,pet,1.178779019,-0.392441284
90,17,17,a,17,pun,m1,flea,store,-0.30782313,-0.05921709
91,17,17,a,17,pun,m1,flea,buy,-0.402777604,0.044471953
92,17,17,a,17,pun,m1,flea,dog,0.892434215,-0.450559247
93,17,17,a,17,pun,m1,flea,get,-0.789078325,0.351543999
94,18,18,a,18,pun,m1,fillings,kind,-0.741261606,0.760959289
95,18,18,a,18,pun,m1,fillings,dentist,1.696305434,-0.227316991
96,19,19,a,19,pun,m1,salivation,bell,0.318681874,-0.358648754
97,19,19,a,19,pun,m1,salivation,bark,-0.603036147,-0.518201998
98,19,19,a,19,pun,m1,salivation,kennel,-0.12174292,-0.852195938
99,19,19,a,19,pun,m1,salivation,novel,-0.9744652,-0.463107148
