uniqueID,sentenceType,p_m1_given_w,p_m2_given_w
1,pun,0.0751127093689,0.924887290631
2,pun,0.820310222753,0.179689777247
3,pun,0.00650026097565,0.993499739024
4,pun,0.000223153778862,0.999776846221
5,pun,0.0815032740957,0.918496725904
6,pun,0.979162943101,0.0208370568989
7,pun,0.0151757824496,0.98482421755
8,pun,0.982528159699,0.0174718403008
9,pun,0.0155604392427,0.984439560757
10,pun,0.952147256569,0.0478527434307
11,pun,0.999857205826,0.000142794174449
12,pun,0.160178726578,0.839821273422
13,pun,0.166875382292,0.833124617708
14,pun,0.161403396189,0.838596603811
15,pun,0.632812162805,0.367187837195
16,pun,0.268171528844,0.731828471156
17,pun,0.000147436619002,0.999852563381
18,pun,0.237359001228,0.762640998772
19,pun,0.963016473504,0.0369835264963
20,pun,0.800161420464,0.199838579536
21,pun,0.838122841427,0.161877158573
22,pun,0.982868278277,0.0171317217227
23,pun,0.997938648553,0.00206135144672
24,pun,0.910309442879,0.0896905571212
25,pun,0.953947952476,0.0460520475239
26,pun,0.052399089873,0.947600910127
27,pun,0.999831168025,0.000168831974519
28,pun,0.430283730788,0.569716269212
29,pun,0.606330390843,0.393669609157
30,pun,0.76922772527,0.23077227473
31,pun,0.994532489936,0.005467510064
32,pun,0.665534913655,0.334465086345
33,pun,0.10435826769,0.89564173231
34,pun,0.223219981452,0.776780018548
35,pun,0.87375166495,0.12624833505
36,pun,0.706076649771,0.293923350229
37,pun,0.870056498359,0.129943501641
38,pun,0.226141520013,0.773858479987
39,pun,0.0699101078358,0.930089892164
40,pun,0.975965455506,0.0240345444943
41,pun,0.507082606413,0.492917393587
42,pun,0.788974181807,0.211025818193
43,pun,0.969308272226,0.0306917277737
44,pun,0.513503436391,0.486496563609
45,pun,0.65773103556,0.34226896444
46,pun,0.948991178645,0.0510088213552
47,pun,0.993868805835,0.00613119416473
48,pun,0.658513514353,0.341486485647
49,pun,0.0139483616202,0.98605163838
50,pun,0.435628471917,0.564371528083
51,pun,0.0257152366476,0.974284763352
52,pun,0.464897239565,0.535102760435
53,pun,0.694178123583,0.305821876417
54,pun,0.633192690122,0.366807309878
55,pun,0.545071402171,0.454928597829
56,pun,0.143248309407,0.856751690593
57,pun,0.790255364229,0.209744635771
58,pun,0.0554569453156,0.944543054684
59,pun,0.563733677966,0.436266322034
60,pun,0.0114352853565,0.988564714643
61,pun,0.349594647366,0.650405352634
62,pun,0.622636713693,0.377363286307
63,pun,0.981820269192,0.0181797308083
64,pun,0.970665021518,0.0293349784818
65,pun,0.62657123196,0.37342876804
66,depunned,0.0751127093689,0.924887290631
67,depunned,0.646925544003,0.353074455997
68,depunned,0.00258138449471,0.997418615505
69,depunned,1.54460704873e-05,0.99998455393
70,depunned,0.21330711145,0.78669288855
71,depunned,0.995859043395,0.00414095660493
72,depunned,0.0261286662535,0.973871333746
73,depunned,0.982528159699,0.0174718403008
74,depunned,0.00739171644104,0.992608283559
75,depunned,0.861216655998,0.138783344002
76,depunned,0.999857205826,0.000142794174449
77,depunned,0.0229215561594,0.977078443841
78,depunned,0.0214259971498,0.97857400285
79,depunned,0.0311228361397,0.96887716386
80,depunned,0.0733004396589,0.926699560341
81,depunned,0.286043548452,0.713956451548
