uniqueID,sentenceType,isOrig,p_m1_given_w,p_m2_given_w,entropy
1,pun,0,0.102137285,0.897862715,0.32975385
2,pun,0,0.807964461,0.192035539,0.489161092
3,pun,0,0.049467538,0.950532462,0.196944446
4,pun,0,4.16E-05,0.999958358,0.00046166
5,pun,0,0.301311739,0.698688261,0.611971642
6,pun,0,0.991652304,0.008347696,0.048262905
7,pun,0,0.001792954,0.998207046,0.013129794
8,pun,0,0.946353232,0.053646768,0.209116053
9,pun,0,0.009229726,0.990770274,0.052431275
10,pun,0,0.940154917,0.059845083,0.22654105
11,pun,0,0.999982635,1.74E-05,0.000207699
12,pun,0,0.125694468,0.874305532,0.378119331
13,pun,0,0.071685926,0.928314074,0.257978244
14,pun,0,0.019132306,0.980867694,0.094642718
15,pun,0,0.640455964,0.359544036,0.653155398
16,pun,0,0.272001328,0.727998672,0.585239261
17,pun,0,6.76E-05,0.999932366,0.000717013
18,pun,0,0.427612783,0.572387217,0.682630443
19,pun,0,0.965811587,0.034188413,0.1490128
20,pun,0,0.952125855,0.047874145,0.192207569
21,pun,0,0.96317038,0.03682962,0.157734181
22,pun,0,0.997419824,0.002580176,0.01795443
23,pun,0,0.994638237,0.005361763,0.033381138
24,pun,0,0.881506968,0.118493032,0.363911671
25,pun,0,0.961272948,0.038727052,0.163877334
26,pun,0,0.278936476,0.721063524,0.591946053
27,pun,0,0.99971864,0.00028136,0.002581686
28,pun,0,0.521982226,0.478017774,0.692180432
29,pun,0,0.867391859,0.132608141,0.391314771
30,pun,0,0.942514346,0.057485654,0.219992416
31,pun,0,0.973094648,0.026905352,0.123814529
32,pun,0,0.841447033,0.158552967,0.437262559
33,pun,0,0.035936148,0.964063852,0.154806611
34,pun,0,0.092496944,0.907503056,0.308277089
35,pun,0,0.719314226,0.280685774,0.593599839
36,pun,0,0.726574004,0.273425996,0.586636717
37,pun,0,0.984570751,0.015429249,0.079672563
38,pun,0,0.27738386,0.72261614,0.590465466
39,pun,0,0.377052182,0.622947818,0.662602568
40,pun,0,0.968699101,0.031300899,0.139235541
41,pun,0,0.887314357,0.112685643,0.352093744
42,pun,0,0.573626131,0.426373869,0.682266042
43,pun,0,0.970243581,0.029756419,0.133894435
44,pun,0,0.914479164,0.085520836,0.29205031
45,pun,0,0.961650618,0.038349382,0.162662441
46,pun,0,0.630671603,0.369328397,0.658597274
47,pun,0,0.998940901,0.001059099,0.008313724
48,pun,0,0.667109402,0.332890598,0.636206847
49,pun,0,0.168994764,0.831005236,0.454288698
50,pun,0,0.587563417,0.412436583,0.677733115
51,pun,0,0.01388348,0.98611652,0.07316707
52,pun,0,0.7487855,0.2512145,0.56366548
53,pun,0,0.945218389,0.054781611,0.212360672
54,pun,0,0.749917588,0.250082412,0.562425665
55,pun,0,0.354978618,0.645021382,0.65047424
56,pun,0,0.544787518,0.455212482,0.689129955
57,pun,0,0.969348124,0.030651876,0.137000904
58,pun,0,0.234286098,0.765713902,0.54440364
59,pun,0,0.774526161,0.225473839,0.533749224
60,pun,0,0.089601419,0.910398581,0.301614681
61,pun,0,0.848250147,0.151749853,0.425732415
62,pun,0,0.294453722,0.705546278,0.606091451
63,pun,0,0.980765761,0.019234239,0.09504376
64,pun,0,0.900426834,0.099573166,0.324144111
65,pun,0,0.484775259,0.515224741,0.692683523
66,depunned,0,0.072579879,0.927420121,0.260261743
67,depunned,0,0.571353599,0.428646401,0.682929662
68,depunned,0,0.00087122,0.99912878,0.007009122
69,depunned,0,2.88E-06,0.999997118,3.96459E-05
70,depunned,0,0.046876254,0.953123746,0.189212759
71,depunned,0,0.998357842,0.001642158,0.012169903
72,depunned,0,0.003117567,0.996882433,0.021103256
73,depunned,0,0.992317479,0.007682521,0.04505765
74,depunned,0,0.004369669,0.995630331,0.028100818
75,depunned,0,0.777063639,0.222936361,0.530599371
76,depunned,0,0.999767701,0.000232299,0.002176032
77,depunned,0,0.017375497,0.982624503,0.087641237
78,depunned,0,0.00837054,0.99162946,0.048372008
79,depunned,0,0.003244862,0.996755138,0.021834866
80,depunned,0,0.075576899,0.924423101,0.267831416
81,depunned,0,0.29002743,0.70997257,0.602176241
82,depunned,0,6.76E-05,0.999932366,0.000717013
83,depunned,0,0.132260798,0.867739202,0.390661905
84,depunned,0,0.823514053,0.176485947,0.466022916
85,depunned,0,0.617472609,0.382527391,0.665287861
86,depunned,0,0.793312617,0.206687383,0.509534499
87,depunned,0,0.99452136,0.00547864,0.033990325
88,depunned,0,0.979496963,0.020503037,0.09999044
89,depunned,0,0.217884748,0.782115252,0.524217691
90,depunned,0,0.272370961,0.727629039,0.585602817
91,depunned,0,0.051613799,0.948386201,0.203239836
92,depunned,0,0.998704266,0.001295734,0.009909813
93,depunned,0,0.320058872,0.679941128,0.626913826
94,depunned,0,0.653504824,0.346495176,0.645249976
95,depunned,0,0.964880798,0.035119202,0.152109634
96,depunned,0,0.822385272,0.177614728,0.467757245
97,depunned,0,0.086194078,0.913805922,0.29364273
98,depunned,0,0.00895912,0.99104088,0.051161865
99,depunned,0,0.009142088,0.990857912,0.052021054
100,depunned,0,0.591751661,0.408248339,0.676214658
101,depunned,0,0.287042129,0.712957871,0.599481963
102,depunned,0,0.840689341,0.159310659,0.438525024
103,depunned,0,0.861759134,0.138240866,0.401757251
104,depunned,0,0.081054173,0.918945827,0.28133651
105,depunned,0,0.692782441,0.307217559,0.616856252
106,nonpun,0,0.997244584,0.002755416,0.018992554
107,nonpun,0,0.999750637,0.000249363,0.0023182
108,nonpun,0,0.953018052,0.046981948,0.189531009
109,nonpun,0,0.380881283,0.619118717,0.664493909
110,nonpun,0,0.951448539,0.048551461,0.194227817
111,nonpun,0,0.999940882,5.91E-05,0.00063469
112,nonpun,0,0.838889767,0.161110233,0.441506321
