uniqueID,sentenceType,p_m1_given_w,p_m2_given_w
1,pun,0.619945732663,0.380054267337
2,pun,0.989211748398,0.0107882516018
3,pun,0.116151378992,0.883848621008
4,pun,0.00446315484516,0.995536845155
5,pun,0.640585170538,0.359414829462
6,pun,0.998941628651,0.00105837134909
7,pun,0.236356054228,0.763643945772
8,pun,0.999115442903,0.000884557096709
9,pun,0.24097513959,0.75902486041
10,pun,0.997504061112,0.00249593888786
11,pun,0.999992889732,7.11026808162e-06
12,pun,0.792999459137,0.207000540863
13,pun,0.800921558597,0.199078441403
14,pun,0.79448531525,0.20551468475
15,pun,0.971922297429,0.0280777025715
16,pun,0.880384956952,0.119615043048
17,pun,0.00295303409138,0.997046965909
18,pun,0.862093327156,0.137906672844
19,pun,0.998091634425,0.00190836557483
20,pun,0.987718498442,0.0122815015585
21,pun,0.990475586854,0.00952441314615
22,pun,0.999132947235,0.000867052764929
23,pun,0.999897169939,0.000102830060993
24,pun,0.995118547708,0.00488145229196
25,pun,0.997602281182,0.00239771881836
26,pun,0.526214887168,0.473785112832
27,pun,0.999991593002,8.4069977618e-06
28,pun,0.938156302008,0.0618436979922
29,pun,0.968687146667,0.0313128533328
30,pun,0.985283435519,0.0147165644808
31,pun,0.999726367098,0.000273632902037
32,pun,0.975590215958,0.0244097840423
33,pun,0.700627843027,0.299372156973
34,pun,0.852330860145,0.147669139855
35,pun,0.992857649094,0.00714235090573
36,pun,0.979695609568,0.0203043904319
37,pun,0.992619151094,0.00738084890581
38,pun,0.854429312702,0.145570687298
39,pun,0.601550327333,0.398449672667
40,pun,0.998775423696,0.00122457630394
41,pun,0.953837798507,0.046162201493
42,pun,0.98685852084,0.0131414791604
43,pun,0.998426046583,0.00157395341749
44,pun,0.954956060524,0.0450439394756
45,pun,0.974746168578,0.0252538314216
46,pun,0.997331058766,0.00266894123386
47,pun,0.999692957003,0.000307042997129
48,pun,0.974831635341,0.0251683646587
49,pun,0.221258635062,0.778741364938
50,pun,0.93940742855,0.0605925714502
51,pun,0.346463718902,0.653536281098
52,pun,0.945800377556,0.0541996224444
53,pun,0.978536951355,0.0214630486448
54,pun,0.971966963189,0.0280330368111
55,pun,0.960104412795,0.0398955872055
56,pun,0.77055212429,0.22944787571
57,pun,0.986958164786,0.0130418352137
58,pun,0.54113325008,0.45886674992
59,pun,0.962899873393,0.037100126607
60,pun,0.188536111289,0.811463888711
61,pun,0.91522572128,0.0847742787199
62,pun,0.970709240152,0.0292907598479
63,pun,0.999078974132,0.000921025868224
64,pun,0.998497619347,0.00150238065254
65,pun,0.971182601727,0.028817398273
66,depunned,0.619945732663,0.380054267337
67,depunned,0.973546374736,0.0264536252641
68,depunned,0.0494140082467,0.950585991753
69,depunned,0.000310151187591,0.999689848812
70,depunned,0.844866818911,0.155133181089
71,depunned,0.999793019485,0.000206980514563
72,depunned,0.3501804403,0.6498195597
73,depunned,0.999115442903,0.000884557096709
74,depunned,0.130111175425,0.869888824575
75,depunned,0.992040770957,0.00795922904343
76,depunned,0.999992889732,7.11026808162e-06
77,depunned,0.320279168584,0.679720831416
78,depunned,0.305447167104,0.694552832896
79,depunned,0.392170908471,0.607829091529
80,depunned,0.613710728195,0.386289271805
81,depunned,0.889468357757,0.110531642243
82,depunned,0.00295303409138,0.997046965909
83,depunned,0.862093327156,0.137906672844
84,depunned,0.98223909672,0.0177609032802
85,depunned,0.980301540877,0.0196984591226
86,depunned,0.990475586854,0.00952441314615
87,depunned,0.999132947235,0.000867052764929
88,depunned,0.99960082437,0.000399175629575
89,depunned,0.932264752595,0.067735247405
90,depunned,0.862533113506,0.137466886494
91,depunned,0.828920501912,0.171079498088
