uniqueID,sentenceType,isOrig,p_m1_given_w,p_m2_given_w
1,pun,0,0.0912673912309,0.908732608769
2,pun,0,0.310051614963,0.689948385037
3,pun,0,0.903999553762,0.0960004462377
4,pun,0,0.0158155105014,0.984184489499
5,pun,0,0.377838268378,0.622161731622
6,pun,0,0.865126154513,0.134873845487
7,pun,0,0.00998067454382,0.990019325456
8,pun,0,0.26000601335,0.73999398665
9,pun,0,0.173998088236,0.826001911764
10,pun,0,0.557901287742,0.442098712258
11,pun,0,0.921689186941,0.0783108130594
12,pun,0,0.371147966392,0.628852033608
13,pun,0,0.261190521765,0.738809478235
14,pun,0,0.103576787407,0.896423212593
15,pun,0,0.606510238245,0.393489761755
16,pun,0,0.205411150934,0.794588849066
17,pun,0,0.00382191308453,0.996178086915
18,pun,0,0.21471049148,0.78528950852
19,pun,0,0.836115971368,0.163884028632
20,pun,0,0.762994933051,0.237005066949
21,pun,0,0.856565065703,0.143434934297
22,pun,0,0.955950896334,0.0440491036658
23,pun,0,0.941478009921,0.0585219900791
24,pun,0,0.888363033716,0.111636966284
25,pun,0,0.971742822351,0.028257177649
26,pun,0,0.300336318539,0.699663681461
27,pun,0,0.978332000319,0.0216679996807
28,pun,0,0.637442456903,0.362557543097
29,pun,0,0.90163629999,0.0983637000101
30,pun,0,0.898353614892,0.101646385108
31,pun,0,0.113902092088,0.886097907912
32,pun,0,0.843951961319,0.156048038681
33,pun,0,0.82020896392,0.17979103608
34,pun,0,0.339942311245,0.660057688755
35,pun,0,0.520943878822,0.479056121178
36,pun,0,0.525204756711,0.474795243289
37,pun,0,0.94739763707,0.0526023629304
38,pun,0,0.0138621660451,0.986137833955
39,pun,0,0.891933115425,0.108066884575
40,pun,0,0.50975980942,0.49024019058
41,pun,0,0.9989397862,0.00106021379985
42,pun,0,0.670894513571,0.329105486429
43,pun,0,0.510591697531,0.489408302469
44,pun,0,0.988335412894,0.0116645871059
45,pun,0,0.805174283681,0.194825716319
46,pun,0,0.684649648795,0.315350351205
47,pun,0,0.665013524572,0.334986475428
48,pun,0,0.359135753292,0.640864246708
49,pun,0,0.883977017242,0.116022982758
50,pun,0,0.514511707502,0.485488292498
51,pun,0,0.42800460568,0.57199539432
52,pun,0,0.770474489676,0.229525510324
53,pun,0,0.616959552264,0.383040447736
54,pun,0,0.981439253557,0.0185607464427
55,pun,0,0.29493641656,0.70506358344
56,pun,0,0.954083877308,0.0459161226917
