uniqueID,sentenceType,p_m1_given_w,p_m2_given_w
1,pun,0.346323313781,0.653676686219
2,pun,0.782744976599,0.217255023401
3,pun,0.897411642923,0.102588357077
4,pun,0.388911462899,0.611088537101
5,pun,0.480068136597,0.519931863403
6,pun,0.949363232288,0.0506367677123
7,pun,0.389898201922,0.610101798078
8,pun,0.89219941492,0.10780058508
9,pun,0.725350609366,0.274649390634
10,pun,0.921936569298,0.0780634307016
11,pun,0.913601705606,0.0863982943941
12,pun,0.852630313253,0.147369686747
13,pun,0.87139501205,0.12860498795
14,pun,0.893892889761,0.106107110239
15,pun,0.91679854765,0.0832014523502
16,pun,0.651981762296,0.348018237704
17,pun,0.0582054669955,0.941794533005
18,pun,0.45701192369,0.54298807631
19,pun,0.97202646767,0.0279735323303
20,pun,0.827262902995,0.172737097005
21,pun,0.897287985856,0.102712014144
22,pun,0.959675295834,0.040324704166
23,pun,0.99678687215,0.00321312785044
24,pun,0.987687709741,0.0123122902587
25,pun,0.995306445796,0.004693554204
26,pun,0.311954441109,0.688045558891
27,pun,0.998204826433,0.00179517356733
28,pun,0.899853832949,0.100146167051
29,pun,0.940997465524,0.0590025344756
30,pun,0.929955353166,0.0700446468339
31,pun,0.826898682491,0.173101317509
32,pun,0.937435851262,0.062564148738
33,pun,0.990598751852,0.00940124814798
34,pun,0.914742816862,0.0852571831381
35,pun,0.955946931538,0.0440530684618
36,pun,0.880797077978,0.119202922022
37,pun,0.933172504444,0.0668274955564
38,pun,0.0732785530506,0.926721446949
39,pun,0.883360868143,0.116639131857
40,pun,0.909757042116,0.0902429578836
41,pun,0.998901772507,0.00109822749283
42,pun,0.97666810196,0.0233318980402
43,pun,0.881890983783,0.118109016217
44,pun,0.984076331196,0.0159236688043
45,pun,0.700617438333,0.299382561667
46,pun,0.99431105256,0.00568894744001
47,pun,0.715989855913,0.284010144087
48,pun,0.799379317178,0.200620682822
49,pun,0.796581571538,0.203418428462
50,pun,0.809264535514,0.190735464486
51,pun,0.912012422949,0.0879875770509
52,pun,0.878489635827,0.121510364173
53,pun,0.610241438896,0.389758561104
54,pun,0.995573617817,0.00442638218273
55,pun,0.870622506023,0.129377493977
56,pun,0.955457017479,0.0445429825212
57,pun,0.800320314101,0.199679685899
58,pun,0.798855196127,0.201144803873
59,pun,0.986148143387,0.0138518566134
60,pun,0.269097703068,0.730902296932
61,pun,0.739840307723,0.260159692277
62,pun,0.98658468561,0.0134153143897
63,pun,0.996934769125,0.00306523087454
64,pun,0.930096841424,0.0699031585762
65,pun,0.558038408942,0.441961591058
66,depunned,0.346323313781,0.653676686219
67,depunned,0.59117783541,0.40882216459
68,depunned,0.775796655682,0.224203344318
69,depunned,0.0421844173195,0.95781558268
70,depunned,0.738313333122,0.261686666878
71,depunned,0.989685406119,0.0103145938807
72,depunned,0.526668659375,0.473331340625
73,depunned,0.89219941492,0.10780058508
74,depunned,0.554414738332,0.445585261668
75,depunned,0.786473070661,0.213526929339
76,depunned,0.913601705606,0.0863982943941
77,depunned,0.415758822066,0.584241177934
78,depunned,0.425507197906,0.574492802094
79,depunned,0.584376066579,0.415623933421
80,depunned,0.335873074263,0.664126925737
81,depunned,0.671946749439,0.328053250561
82,depunned,0.0582054669955,0.941794533005
83,depunned,0.45701192369,0.54298807631
84,depunned,0.786064027381,0.213935972619
85,depunned,0.747697182136,0.252302817864
86,depunned,0.897287985856,0.102712014144
87,depunned,0.959675295834,0.040324704166
88,depunned,0.987637791739,0.0123622082612
89,depunned,0.844139929585,0.155860070415
90,depunned,0.761789247716,0.238210752284
91,depunned,0.66419434611,0.33580565389
92,depunned,0.99177766349,0.00822233650985
93,depunned,0.899853832949,0.100146167051
94,depunned,0.940997465524,0.0590025344756
95,depunned,0.989268017877,0.0107319821228
96,depunned,0.379479325758,0.620520674242
97,depunned,0.774297316107,0.225702683893
98,depunned,0.962341011118,0.0376589888816
99,depunned,0.492702913385,0.507297086615
100,depunned,0.924662883678,0.075337116322
101,depunned,0.880797077978,0.119202922022
102,depunned,0.924338467829,0.0756615321711
103,depunned,0.562193486526,0.437806513474
104,depunned,0.524634713521,0.475365286479
105,depunned,0.459810883963,0.540189116037
106,nonpun,0.997947597979,0.00205240202123
107,nonpun,0.997404941237,0.0025950587634
108,nonpun,0.999706801154,0.000293198846294
109,nonpun,0.99833477254,0.00166522745963
110,nonpun,0.990066873172,0.00993312682806
111,nonpun,0.999546123506,0.000453876494478
112,nonpun,0.985793747317,0.0142062526833
113,nonpun,0.983288407877,0.0167115921229
114,nonpun,0.977196909728,0.0228030902716
115,nonpun,0.963069740195,0.0369302598048
116,nonpun,0.997905214578,0.00209478542235
117,nonpun,0.982173149844,0.017826850156
118,nonpun,0.939838222539,0.0601617774612
119,nonpun,0.987587535867,0.0124124641328
120,nonpun,0.997137987582,0.00286201241836
121,nonpun,0.979738040569,0.0202619594306
122,nonpun,0.649186338672,0.350813661328
123,nonpun,0.996627647765,0.0033723522353
124,nonpun,0.973107165586,0.0268928344142
125,nonpun,0.995775843674,0.00422415632595
126,nonpun,0.996162146958,0.00383785304157
127,nonpun,0.992478742235,0.00752125776477
128,nonpun,0.970099942232,0.0299000577675
129,nonpun,0.987785616016,0.0122143839844
130,nonpun,0.441642875554,0.558357124446
131,nonpun,0.990242921223,0.00975707877713
132,nonpun,0.987324614873,0.0126753851273
