uniqueID,sentenceType,isOrig,KL
1,pun,0,4.1347766027e-35
2,pun,0,2.38821662882e-35
3,pun,0,7.89723421044e-35
4,pun,0,1.26838905615e-34
5,pun,0,5.3319745186e-35
6,pun,0,4.11375601367e-35
7,pun,0,5.20286650357e-35
8,pun,0,3.06193399599e-35
9,pun,0,4.05669368301e-35
10,pun,0,2.6593587496e-35
11,pun,0,5.05097430986e-35
12,pun,0,5.93429797915e-35
13,pun,0,4.62153441089e-35
14,pun,0,5.60785024432e-35
15,pun,0,5.09917886675e-35
16,pun,0,3.00706363682e-35
17,pun,0,6.00696916743e-35
18,pun,0,4.77690745451e-35
19,pun,0,5.02950702264e-35
20,pun,0,3.43941433806e-35
21,pun,0,3.63355846987e-35
22,pun,0,3.90905604889e-35
23,pun,0,7.2594379909e-35
24,pun,0,4.21219789865e-35
25,pun,0,6.05528594869e-35
26,pun,0,6.53207079996e-35
27,pun,0,7.0265946796e-35
28,pun,0,3.82918195425e-35
29,pun,0,3.71836646468e-35
30,pun,0,4.98763170135e-35
31,pun,0,8.39822033454e-35
32,pun,0,9.98794075752e-35
33,pun,0,8.85446566009e-35
34,pun,0,5.87547725348e-35
35,pun,0,3.99226287462e-35
36,pun,0,2.18642326268e-35
37,pun,0,5.5431892349e-35
38,pun,0,7.56976235937e-35
39,pun,0,1.25005588086e-34
40,pun,0,7.24886141993e-35
41,pun,0,1.10500791648e-34
42,pun,0,7.09610403813e-35
43,pun,0,9.08574346459e-35
44,pun,0,6.78952338929e-35
45,pun,0,5.53952811126e-35
46,pun,0,9.65090665056e-35
47,pun,0,4.84386753718e-35
48,pun,0,2.61195669581e-35
49,pun,0,5.62370101276e-35
50,pun,0,2.53022474122e-35
51,pun,0,1.07197741854e-34
52,pun,0,4.15731090877e-35
53,pun,0,4.15670460944e-35
54,pun,0,5.16481544092e-35
55,pun,0,2.6870030044e-35
56,pun,0,5.02120327633e-35
57,pun,0,6.10877167749e-35
58,pun,0,3.69046936399e-35
59,pun,0,5.50933386462e-35
60,pun,0,6.58222284257e-35
61,pun,0,5.06271204654e-35
62,pun,0,5.30349551157e-35
63,pun,0,5.02419022681e-35
64,pun,0,5.37675353081e-35
65,pun,0,8.48745070537e-35
66,depunned,0,4.04992353297e-35
67,depunned,0,3.56500107039e-35
68,depunned,0,6.08431579692e-35
69,depunned,0,9.47467393323e-35
70,depunned,0,3.90878672679e-35
71,depunned,0,3.96797069246e-35
72,depunned,0,5.04775889786e-35
73,depunned,0,2.60325772059e-35
74,depunned,0,3.96018732433e-35
75,depunned,0,2.76081012207e-35
76,depunned,0,3.65102940917e-35
77,depunned,0,4.39413257712e-35
78,depunned,0,4.29385326531e-35
79,depunned,0,5.76789524543e-35
80,depunned,0,4.23494920799e-35
81,depunned,0,2.84241967766e-35
82,depunned,0,6.00696916743e-35
83,depunned,0,4.93392935165e-35
84,depunned,0,2.96583573917e-35
85,depunned,0,3.35035561782e-35
86,depunned,0,2.3208811114e-35
87,depunned,0,2.88939145047e-35
88,depunned,0,5.58712058971e-35
89,depunned,0,2.94792371465e-35
90,depunned,0,2.49156828232e-35
91,depunned,0,4.96569205592e-35
92,depunned,0,5.0847846956e-35
93,depunned,0,3.94087419487e-35
94,depunned,0,3.01177400616e-35
95,depunned,0,7.40522338224e-35
96,depunned,0,7.58861811346e-35
97,depunned,0,8.32258166166e-35
98,depunned,0,7.10321433415e-35
99,depunned,0,4.6032755727e-35
100,depunned,0,3.67673973e-35
101,depunned,0,3.66591296277e-35
102,depunned,0,2.74300448516e-35
103,depunned,0,4.68641896064e-35
104,depunned,0,1.03354986837e-34
105,depunned,0,4.21839218503e-35
106,nonpun,0,6.20023928675e-35
107,nonpun,0,6.29703534047e-35
108,nonpun,0,7.95684845136e-35
