uniqueID,sentenceType,isOrig,KL
1,pun,0,1.54381987358e-36
2,pun,0,6.742588653e-37
3,pun,0,3.41703721506e-36
4,pun,0,5.80017308508e-36
5,pun,0,2.13986961846e-36
6,pun,0,1.53335433854e-36
7,pun,0,2.07559052275e-36
8,pun,0,1.00968299149e-36
9,pun,0,1.50494467697e-36
10,pun,0,8.09252578344e-37
11,pun,0,1.99996785243e-36
12,pun,0,2.43974881157e-36
13,pun,0,1.78616231633e-36
14,pun,0,2.27722005464e-36
15,pun,0,2.02396748812e-36
16,pun,0,9.82364648261e-37
17,pun,0,2.47592966576e-36
18,pun,0,1.86351799978e-36
19,pun,0,1.98927991946e-36
