uniqueID,sentenceType,isOrig,p_m1_given_w,p_m2_given_w,entropy
1,pun,0,0.773170447633,0.226829552367,0.535416983224
2,pun,0,0.992130324318,0.00786967568153,0.0459651484134
3,pun,0,0.609281807488,0.390718192512,0.669068259307
4,pun,0,0.00124626351785,0.998753736482,0.00958000522793
5,pun,0,0.928171870336,0.0718281296644,0.258342285758
6,pun,0,0.999719143845,0.000280856154796,0.00257756507944
7,pun,0,0.0510720296127,0.948927970387,0.201659752821
8,pun,0,0.998111712105,0.00188828789461,0.0137300056374
9,pun,0,0.218222782966,0.781777217034,0.524649376631
10,pun,0,0.997880144812,0.0021198551881,0.0151682990849
11,pun,0,0.999999420477,5.79523469034e-07,8.90209442375e-06
12,pun,0,0.811597547637,0.188402452363,0.483898194851
13,pun,0,0.698238618687,0.301761381313,0.612349338082
14,pun,0,0.368871933643,0.631128066357,0.658352574065
15,pun,0,0.981609217647,0.0183907823525,0.0917084575958
16,pun,0,0.918002226557,0.0819977734433,0.283621717885
17,pun,0,0.00202263027494,0.997977369725,0.0145676800375
18,pun,0,0.957238006619,0.0427619933807,0.17662469877
19,pun,0,0.998820025735,0.0011799742646,0.00913497423362
20,pun,0,0.998324759068,0.00167524093163,0.0123816390439
21,pun,0,0.998725502402,0.00127449759797,0.009768470573
22,pun,0,0.99991367579,8.63242104571e-05,0.000894090691133
23,pun,0,0.999820128199,0.000179871800511,0.00173093803673
24,pun,0,0.995533967223,0.00446603277692,0.0286228864134
25,pun,0,0.998657287733,0.00134271226742,0.0102212520875
26,pun,0,0.920580230532,0.0794197694679,0.277349955238
27,pun,0,0.999990607536,9.39246378242e-06,0.000118115850817
28,pun,0,0.970343983873,0.0296560161266,0.13354440564
29,pun,0,0.994923745342,0.00507625465755,0.0318821236282
30,pun,0,0.997968638764,0.00203136123608,0.0146218047693
31,pun,0,0.999078104296,0.000921895704078,0.00736467203535
32,pun,0,0.993750808321,0.00624919167942,0.0379461669253
33,pun,0,0.527618399119,0.472381600881,0.691620851902
34,pun,0,0.75333496154,0.24666503846,0.558641567697
35,pun,0,0.987144725809,0.0128552741907,0.0687441668697
36,pun,0,0.987596669205,0.0124033307946,0.0667741098146
37,pun,0,0.999477279492,0.000522720507554,0.00447250237414
38,pun,0,0.920013035886,0.0799869641141,0.278737532457
39,pun,0,0.947743560733,0.0522564392667,0.20510634311
40,pun,0,0.998922794416,0.00107720558358,0.00843758568061
41,pun,0,0.995779605304,0.00422039469603,0.0272878627639
42,pun,0,0.975794243151,0.0242057568493,0.113984014768
43,pun,0,0.998977521072,0.00102247892752,0.0080622605204
44,pun,0,0.996888688083,0.00311131191708,0.0210671706753
45,pun,0,0.998670886095,0.00132911390521,0.0101312743388
46,pun,0,0.980830873934,0.0191691260657,0.0947876462394
47,pun,0,0.999964618173,3.53818269478e-05,0.000398020592755
48,pun,0,0.983619381058,0.0163806189421,0.0835971949421
49,pun,0,0.859026959949,0.140973040051,0.406725910583
50,pun,0,0.977110058728,0.0228899412715,0.109082573685
51,pun,0,0.296697310713,0.703302689287,0.608039914782
52,pun,0,0.988927378874,0.0110726211262,0.0608742030009
53,pun,0,0.998069533819,0.00193046618138,0.0139940032198
54,pun,0,0.988993184916,0.0110068150845,0.0605783945679
55,pun,0,0.942825546706,0.0571744532935,0.219121087923
56,pun,0,0.972870559589,0.0271294404108,0.124617638507
57,pun,0,0.998945812204,0.00105418779585,0.00828007312471
