uniqueID,sentenceType,isOrig,KL
1,pun,0,5.82801581929
2,pun,0,5.06504906095
3,pun,0,7.52363347246
4,pun,0,9.19160533864
5,pun,0,6.38624729845
6,pun,0,5.907017896
7,pun,0,6.70107485979
8,pun,0,5.32797005758
9,pun,0,5.54989926262
10,pun,0,5.2793883076
11,pun,0,6.35047849687
12,pun,0,6.36639224568
13,pun,0,5.63978910224
14,pun,0,6.52893307575
15,pun,0,6.04811079132
16,pun,0,5.31535262945
17,pun,0,6.47778241687
18,pun,0,6.187605356
19,pun,0,6.27118854642
20,pun,0,5.60891163268
21,pun,0,5.61598495376
22,pun,0,5.95795999925
23,pun,0,7.38508390822
24,pun,0,6.12979529093
25,pun,0,6.53372591285
26,pun,0,6.75112261747
27,pun,0,6.8824641611
28,pun,0,5.67981370769
29,pun,0,5.7602443908
30,pun,0,6.43115713253
31,pun,0,7.58662117792
32,pun,0,8.372750803
33,pun,0,7.84478760137
34,pun,0,6.50545243878
35,pun,0,5.59824397019
36,pun,0,5.00196140351
37,pun,0,6.25071895194
38,pun,0,7.09697821665
39,pun,0,8.98642999203
40,pun,0,6.69869411575
41,pun,0,8.64618989859
42,pun,0,6.99453206379
43,pun,0,7.77123937399
44,pun,0,7.11114717005
45,pun,0,6.45957932129
46,pun,0,7.98897600572
47,pun,0,6.37522181248
48,pun,0,5.0887202349
49,pun,0,6.49301530965
50,pun,0,5.15008885631
51,pun,0,8.44898734767
52,pun,0,5.82097184304
53,pun,0,6.23072169198
54,pun,0,6.40544437799
55,pun,0,5.1498546832
56,pun,0,6.49739888138
57,pun,0,6.56447005497
58,pun,0,5.7040766833
59,pun,0,6.27480535811
60,pun,0,7.06877817415
61,pun,0,6.30609160798
62,pun,0,6.28837861818
63,pun,0,6.38132620193
64,pun,0,6.56087917384
65,pun,0,7.50841547139
66,depunned,0,5.80014495757
67,depunned,0,5.43043368039
68,depunned,0,6.32556803726
69,depunned,0,7.82555207822
70,depunned,0,5.87710416712
71,depunned,0,5.75823574668
72,depunned,0,6.5946537567
73,depunned,0,5.17117108766
74,depunned,0,5.46915200305
75,depunned,0,5.23547009485
76,depunned,0,5.48826912895
77,depunned,0,5.65942075535
78,depunned,0,5.60509692244
79,depunned,0,6.45034140705
80,depunned,0,5.5329506829
81,depunned,0,5.21132437975
82,depunned,0,6.47778241687
83,depunned,0,6.13158866924
84,depunned,0,5.20822997948
85,depunned,0,5.30759197688
86,depunned,0,5.02662837226
87,depunned,0,5.46467640516
88,depunned,0,6.55687165084
89,depunned,0,5.22039262951
90,depunned,0,5.06726468912
91,depunned,0,5.93861616436
92,depunned,0,5.92530247675
93,depunned,0,5.69953056343
94,depunned,0,5.31815318839
95,depunned,0,7.15839974503
96,depunned,0,7.06181827264
97,depunned,0,7.67173883265
98,depunned,0,6.86292502596
99,depunned,0,5.75062871217
100,depunned,0,5.4847656959
101,depunned,0,5.71271460288
102,depunned,0,5.14054972516
103,depunned,0,5.90712571403
104,depunned,0,7.98186735108
105,depunned,0,5.64836948484
106,nonpun,0,6.69759927439
107,nonpun,0,7.11463377102
108,nonpun,0,8.12907723235
109,nonpun,0,7.40674650157
110,nonpun,0,6.16446352236
111,nonpun,0,7.06997423152
112,nonpun,0,5.64714559281
113,nonpun,0,7.01889028079
114,nonpun,0,5.35680639111
115,nonpun,0,5.16264656959
116,nonpun,0,6.80401328741
117,nonpun,0,5.75235936295
118,nonpun,0,5.13266910934
119,nonpun,0,5.54243713845
120,nonpun,0,6.73162851916
121,nonpun,0,6.09222084554
122,nonpun,0,5.37257022997
123,nonpun,0,6.95336042004
124,nonpun,0,6.67540881028
125,nonpun,0,6.4732955872
126,nonpun,0,6.52723388957
127,nonpun,0,5.88115701361
128,nonpun,0,6.43782585742
129,nonpun,0,5.4990058214
130,nonpun,0,6.7331318081
131,nonpun,0,6.56857005502
132,nonpun,0,6.33889706351
133,nonpun,0,5.67835445484
