uniqueID,sentenceType,isOrig,KL
1,pun,0,1.03369415067e-35
2,pun,0,5.97054157206e-36
3,pun,0,1.97430855261e-35
4,pun,0,3.17097264037e-35
5,pun,0,1.33299362965e-35
6,pun,0,1.02843900342e-35
7,pun,0,1.30071662589e-35
8,pun,0,7.65483498996e-36
9,pun,0,1.01417342075e-35
10,pun,0,6.648396874e-36
11,pun,0,1.26274357746e-35
12,pun,0,1.48357449479e-35
13,pun,0,1.15538360272e-35
14,pun,0,1.40196256108e-35
15,pun,0,1.27479471669e-35
16,pun,0,7.51765909204e-36
17,pun,0,1.50174229186e-35
18,pun,0,1.19422686363e-35
19,pun,0,1.25737675566e-35
20,pun,0,8.59853584515e-36
21,pun,0,9.08389617468e-36
22,pun,0,9.77264012222e-36
23,pun,0,1.81485949773e-35
24,pun,0,1.05304947466e-35
25,pun,0,1.51382148717e-35
26,pun,0,1.63301769999e-35
27,pun,0,1.7566486699e-35
28,pun,0,9.57295488564e-36
29,pun,0,9.2959161617e-36
30,pun,0,1.24690792534e-35
31,pun,0,2.09955508364e-35
32,pun,0,2.49698518938e-35
33,pun,0,2.21361641502e-35
34,pun,0,1.46886931337e-35
35,pun,0,9.98065718654e-36
36,pun,0,5.4660581567e-36
37,pun,0,1.38579730873e-35
38,pun,0,1.89244058984e-35
39,pun,0,3.12513970216e-35
40,pun,0,1.81221535498e-35
41,pun,0,2.76251979121e-35
42,pun,0,1.77402600953e-35
43,pun,0,2.27143586615e-35
44,pun,0,1.69738084732e-35
45,pun,0,1.38488202781e-35
46,pun,0,2.41272666264e-35
47,pun,0,1.2109668843e-35
48,pun,0,6.52989173952e-36
49,pun,0,1.40592525319e-35
50,pun,0,6.32556185305e-36
51,pun,0,2.67994354635e-35
52,pun,0,1.03932772719e-35
53,pun,0,1.03917615236e-35
54,pun,0,1.29120386023e-35
55,pun,0,6.717507511e-36
56,pun,0,1.25530081908e-35
57,pun,0,1.52719291937e-35
58,pun,0,9.22617340998e-36
59,pun,0,1.37733346615e-35
60,pun,0,1.64555571064e-35
61,pun,0,1.26567801164e-35
62,pun,0,1.32587387789e-35
63,pun,0,1.2560475567e-35
64,pun,0,1.3441883827e-35
65,pun,0,2.12186267634e-35
66,depunned,0,1.01248088324e-35
67,depunned,0,8.91250267596e-36
68,depunned,0,1.52107894923e-35
69,depunned,0,2.36866848331e-35
70,depunned,0,9.77196681698e-36
71,depunned,0,9.91992673115e-36
72,depunned,0,1.26193972447e-35
73,depunned,0,6.50814430148e-36
74,depunned,0,9.90046831082e-36
75,depunned,0,6.90202530519e-36
76,depunned,0,9.12757352292e-36
77,depunned,0,1.09853314428e-35
78,depunned,0,1.07346331633e-35
79,depunned,0,1.44197381136e-35
80,depunned,0,1.058737302e-35
81,depunned,0,7.10604919416e-36
82,depunned,0,1.50174229186e-35
83,depunned,0,1.23348233791e-35
84,depunned,0,7.41458934794e-36
85,depunned,0,8.37588904454e-36
86,depunned,0,5.8022027785e-36
87,depunned,0,7.22347862618e-36
88,depunned,0,1.39678014743e-35
89,depunned,0,7.36980928664e-36
90,depunned,0,6.22892070579e-36
91,depunned,0,1.24142301398e-35
92,depunned,0,1.2711961739e-35
93,depunned,0,9.85218548718e-36
94,depunned,0,7.5294350154e-36
95,depunned,0,1.85130584556e-35
96,depunned,0,1.89715452836e-35
97,depunned,0,2.08064541542e-35
98,depunned,0,1.77580358354e-35
99,depunned,0,1.15081889317e-35
100,depunned,0,9.19184932499e-36
101,depunned,0,9.16478240694e-36
102,depunned,0,6.85751121291e-36
103,depunned,0,1.17160474016e-35
