uniqueID,sentenceType,isOrig,contentWords,focusWordsM1,focusWordsM2
181,nonpun,0,,seedy;bar;drunken;unwashed,
182,nonpun,0,,hair;heads;lots;people,
183,nonpun,0,,naughty;boy;child,
184,nonpun,0,,taught;college;mathematics;students,
185,nonpun,0,,marks;high;high;school,
186,nonpun,0,,high;feet;statue;ten,
187,nonpun,0,,days;seven;week,
188,nonpun,0,,pros;cons,
189,nonpun,0,,plain;beautiful,
190,nonpun,0,,damn,
191,nonpun,0,,hurts;fell;leg,
192,nonpun,0,,roll,dress
193,nonpun,0,,caller;bank;phone,
194,nonpun,0,,steel;made;ship;wood,
195,nonpun,0,,die;attack;heart;scared,
196,nonpun,0,,waste;time,
197,nonpun,0,,feat,
198,nonpun,0,,allowed;use,
199,nonpun,0,,pale;looks;sick,sick
200,nonpun,0,,manner;food,food
201,nonpun,0,,cash;bought;chips;stocks;ten,
202,nonpun,0,,rain;city;fell,city
203,nonpun,0,,time;lunch;meeting,
204,nonpun,0,,poor;afford;buy;cannot;family,
205,nonpun,0,,guilt;accused;innocence;jury;person,
206,nonpun,0,,err,
207,nonpun,0,,sun;evening;morning;rises;sets,
208,nonpun,0,,seas;high;mid-atlantic;ship,
209,nonpun,0,,what,
210,nonpun,0,,raiser;fund,
211,nonpun,0,,not,
212,nonpun,0,,would;let;not,
213,nonpun,0,,grater;cheese;cheese;slices,cheese;cheese
214,nonpun,0,,i;know,
215,nonpun,0,,sell;car;good;price,
216,nonpun,0,,cent;borrow;stingy,
217,nonpun,0,,coarse;hair,
218,nonpun,0,,dear;friend,
219,nonpun,0,,be,
220,nonpun,0,,break;leg;performance,performance
221,nonpun,0,,flower;growing;picked;pretty;weeds,
222,nonpun,0,,fair;game;not;rules,
223,nonpun,0,,heal;time;wounds,
224,nonpun,0,,him;john,
225,nonpun,0,,knows;dictionary;word,word
226,nonpun,0,,in;close;come;door;room,door;room
227,nonpun,0,,idle;doing;just;sitting,
228,nonpun,0,,made;cake,
229,nonpun,0,,none,
230,nonpun,0,,morning;shining;sun;up;woke,
231,nonpun,0,,meet;able;finally;pals,
232,nonpun,0,,real;counterfeit;diamond;just;very,
233,nonpun,0,,pair;matching;socks,
234,nonpun,0,,prey;eagle's;easily;mouse,eagle's
235,nonpun,0,,route;faster;home;take;way,
