uniqueID,sentenceType,isOrig,KL
1,pun,0,5.53613005347e-16
2,pun,0,4.19442908198e-16
3,pun,0,6.19590461168e-16
4,pun,0,6.87616022283e-16
5,pun,0,5.7822030249e-16
6,pun,0,5.60556642276e-16
7,pun,0,6.14653714699e-16
8,pun,0,4.24941702642e-16
9,pun,0,5.40683612645e-16
10,pun,0,5.5160232505e-16
11,pun,0,4.74684848776e-16
12,pun,0,5.6397018278e-16
13,pun,0,4.2713948242e-16
14,pun,0,4.76174405176e-16
15,pun,0,4.46934145649e-16
16,pun,0,5.36350810228e-16
17,pun,0,5.75878149219e-16
18,pun,0,4.62299471e-16
19,pun,0,5.8636276287e-16
20,pun,0,4.51076009657e-16
21,pun,0,5.46355105025e-16
22,pun,0,5.75022184623e-16
23,pun,0,5.13250039522e-16
24,pun,0,6.03567078591e-16
25,pun,0,5.77174096755e-16
26,pun,0,4.7167964689e-16
27,pun,0,5.8834121163e-16
28,pun,0,4.38860120414e-16
29,pun,0,5.55909079553e-16
30,pun,0,5.86457969359e-16
31,pun,0,6.06225348026e-16
32,pun,0,6.89552670071e-16
33,pun,0,6.402204894e-16
34,pun,0,5.8112184998e-16
35,pun,0,5.39910712337e-16
36,pun,0,4.18437671624e-16
37,pun,0,4.58216510215e-16
38,pun,0,4.87164120254e-16
39,pun,0,6.63486810327e-16
40,pun,0,5.71915622555e-16
41,pun,0,6.79764900615e-16
42,pun,0,5.21442557695e-16
43,pun,0,6.23545147912e-16
44,pun,0,6.19002519664e-16
45,pun,0,4.8732074766e-16
46,pun,0,6.70889089253e-16
47,pun,0,5.95310033078e-16
48,pun,0,5.30386493281e-16
49,pun,0,4.96128024758e-16
50,pun,0,5.32920232545e-16
51,pun,0,6.48265702761e-16
52,pun,0,5.56555594086e-16
53,pun,0,6.01403322241e-16
54,pun,0,5.92354392992e-16
55,pun,0,5.31606776189e-16
56,pun,0,4.92355734499e-16
57,pun,0,4.6939588548e-16
58,pun,0,5.54571898639e-16
59,pun,0,4.58819156339e-16
60,pun,0,4.95258183922e-16
61,pun,0,5.89780939809e-16
62,pun,0,4.5422754752e-16
63,pun,0,4.7918145479e-16
64,pun,0,4.71921104558e-16
65,pun,0,6.03986506443e-16
66,depunned,0,4.42168334115e-16
67,depunned,0,4.25583057199e-16
68,depunned,0,5.54907276063e-16
69,depunned,0,5.13917106153e-16
70,depunned,0,5.66892899359e-16
71,depunned,0,5.47513000764e-16
72,depunned,0,6.10795627853e-16
73,depunned,0,4.21871770035e-16
74,depunned,0,4.24974289029e-16
75,depunned,0,5.35404418764e-16
76,depunned,0,5.38991550431e-16
77,depunned,0,4.30702147532e-16
78,depunned,0,5.38377705516e-16
79,depunned,0,5.82862487276e-16
80,depunned,0,4.25860738388e-16
81,depunned,0,5.32937443895e-16
82,depunned,0,5.75878149219e-16
83,depunned,0,5.69481381765e-16
84,depunned,0,4.21296249412e-16
85,depunned,0,4.22725475146e-16
86,depunned,0,5.29677448339e-16
87,depunned,0,5.53219665556e-16
88,depunned,0,4.75090629013e-16
89,depunned,0,5.32611843319e-16
90,depunned,0,5.30176902857e-16
91,depunned,0,4.3666931144e-16
92,depunned,0,5.45187525556e-16
