uniqueID,sentenceType,isOrig,maxPm1,maxPm2,numWordsM1,numWordsM2,numWords
1,pun,0,4.79997571887e-31,3.35363206424e-25,2,2,4
2,pun,0,4.682060458e-27,1.90686648289e-25,1,2,4
3,pun,0,1.94031817835e-42,2.26955908502e-36,3,2,7
4,pun,0,1.22578611957e-36,5.07572188309e-27,1,4,6
5,pun,0,9.28259959166e-29,6.17409422269e-25,2,2,5
6,pun,0,2.72264121605e-29,1.79653091518e-26,3,1,6
7,pun,0,5.85668569089e-23,6.87055387808e-18,1,3,4
8,pun,0,3.69499070085e-20,6.04744798507e-23,0,1,4
9,pun,0,5.02293807387e-36,6.97001584583e-33,1,2,6
10,pun,0,3.13884454473e-34,1.26302048592e-32,2,3,6
11,pun,0,1.24236250864e-25,5.5379012814e-29,2,0,5
12,pun,0,6.5539814225e-35,3.05145549895e-28,1,1,6
13,pun,0,1.29771206374e-45,7.38344708011e-41,1,2,7
14,pun,0,1.17747066474e-31,4.03710177701e-25,1,2,4
15,pun,0,5.89620209394e-35,6.28960271878e-34,2,1,6
16,pun,0,1.16053632023e-33,1.49522509703e-29,1,1,6
17,pun,0,9.15888174727e-39,7.37586135739e-34,0,3,8
18,pun,0,4.36207583718e-24,3.2250269749e-21,1,2,4
19,pun,0,1.22282655428e-32,1.30821981424e-27,2,2,7
20,pun,0,4.4545478456e-43,6.71369545669e-42,1,1,9
21,pun,0,9.87408693444e-20,1.39339215444e-17,1,0,3
22,pun,0,7.7669377836e-19,3.98161785564e-20,2,1,4
23,pun,0,6.15664014832e-37,4.19100474476e-31,4,3,7
24,pun,0,2.18780115445e-23,1.84424711565e-19,1,0,3
25,pun,0,4.33898040431e-34,4.44854105227e-29,3,1,7
26,pun,0,6.81817376529e-26,1.50065974759e-21,1,2,4
27,pun,0,6.2625396148e-45,1.03703344983e-43,3,1,8
28,pun,0,2.89554071955e-26,4.33554154444e-23,1,1,5
29,pun,0,8.19784194007e-38,1.24302858021e-37,2,0,6
30,pun,0,3.96301036566e-25,2.17090737949e-18,2,2,5
31,pun,0,1.93446933728e-44,7.08085878341e-46,2,3,8
32,pun,0,5.88436723427e-30,1.11631212982e-30,3,2,6
33,pun,0,1.01339483151e-39,9.69554183245e-34,2,2,6
34,pun,0,1.50900816779e-30,1.23180181248e-22,1,2,6
35,pun,0,1.04899654281e-33,6.90201732306e-27,1,2,6
36,pun,0,1.01475490222e-14,1.31779487766e-10,1,1,2
37,pun,0,1.11943750679e-27,2.08614657835e-26,2,0,5
38,pun,0,3.96944931304e-53,4.17615756704e-47,0,3,9
39,pun,0,8.59538221547e-29,3.23868935196e-22,3,2,6
40,pun,0,7.49880871705e-43,2.10797238004e-38,1,1,7
41,pun,0,2.38543638776e-32,1.12159397766e-28,3,0,5
42,pun,0,3.61459242899e-19,4.35431110433e-19,1,2,4
43,pun,0,6.11684105508e-58,3.16265775838e-52,3,3,9
44,pun,0,4.89375802074e-16,8.7326968866e-11,2,0,3
45,pun,0,4.9660832482e-21,1.25702744672e-20,1,2,6
46,pun,0,3.69062287659e-22,3.76159210431e-21,1,1,5
47,pun,0,1.29071195921e-31,2.29940180391e-31,2,1,7
48,pun,0,3.64900509595e-21,2.44075602946e-17,1,1,3
49,pun,0,4.41460905002e-17,4.10209706727e-11,1,0,4
50,pun,0,3.7704599248e-25,2.60526063664e-22,2,3,6
51,pun,0,2.75897599881e-35,2.7639827097e-33,2,4,7
52,pun,0,8.69717684271e-34,2.25343523127e-28,2,1,5
53,pun,0,9.10125629395e-23,1.1068338739e-19,2,1,4
54,pun,0,2.85530692199e-29,2.49790003362e-24,4,2,5
55,pun,0,5.42687344601e-25,4.15486069691e-13,1,2,3
56,pun,0,5.53027286776e-24,7.95434731906e-20,3,1,6
57,pun,0,4.50419308486e-29,4.1632226706e-27,2,1,7
58,pun,0,3.37234845624e-19,4.68248667057e-13,1,1,4
59,pun,0,1.9862301788e-32,9.7542055481e-31,2,0,5
60,pun,0,4.61180406671e-18,1.1321293972e-15,1,2,4
61,pun,0,1.46127860892e-21,1.11329055201e-16,1,1,4
62,pun,0,1.47265286277e-27,2.15156316791e-22,2,1,5
63,pun,0,7.10965273153e-29,1.97660181135e-28,3,0,6
64,pun,0,5.08077857732e-23,3.48076669247e-17,1,2,4
65,pun,0,2.67667090357e-26,1.6543038912e-24,2,3,9
66,depunned,0,1.63161684985e-31,1.19122224906e-25,1,2,4
67,depunned,0,1.81563848758e-26,1.14652232881e-24,0,2,4
68,depunned,0,2.78423093665e-42,1.14315605813e-34,2,3,7
69,depunned,0,6.1855674765e-37,1.60297914641e-26,0,4,6
70,depunned,0,2.99338932899e-30,4.68776791775e-26,1,3,5
71,depunned,0,1.04733328537e-24,2.93419727551e-32,3,1,6
72,depunned,0,1.48063883738e-28,8.61837273824e-24,0,2,4
73,depunned,0,4.91637093165e-14,2.37776041962e-17,1,0,4
74,depunned,0,3.98880057326e-34,1.05662523486e-30,0,1,6
75,depunned,0,7.17505781911e-31,9.51293744532e-29,1,3,6
76,depunned,0,1.27589818313e-27,3.42049321311e-30,1,0,5
77,depunned,0,1.22312442704e-34,2.0225889527e-27,0,1,6
78,depunned,0,9.6793724822e-37,8.48239150886e-32,0,3,6
79,depunned,0,9.23950881409e-33,7.87699336801e-26,0,3,4
80,depunned,0,2.60479618837e-38,1.53155887418e-36,1,2,6
81,depunned,0,3.72224843737e-30,3.64470245136e-26,0,1,6
82,depunned,0,9.15888174727e-39,7.37586135739e-34,0,3,8
83,depunned,0,7.5153059039e-27,1.36437036503e-23,0,2,4
84,depunned,0,2.39635530346e-33,1.57631267465e-27,1,2,7
85,depunned,0,5.50583116142e-38,5.76840873386e-36,0,1,9
86,depunned,0,7.56892691461e-20,3.26764796157e-17,0,0,3
87,depunned,0,1.10582474679e-18,8.89166431275e-20,2,2,4
88,depunned,0,1.14217953692e-36,2.44784347924e-30,4,3,7
89,depunned,0,1.7137224e-25,1.49035398292e-20,0,1,3
90,depunned,0,4.19036429671e-34,7.35248784198e-28,0,0,5
91,depunned,0,1.01933333767e-26,1.10896211856e-21,0,2,4
92,depunned,0,1.75658945741e-45,1.36909189644e-43,3,1,8
93,depunned,0,1.13332834086e-26,1.69695147857e-23,1,1,5
94,depunned,0,2.95131875856e-39,1.84524151592e-38,1,0,6
95,depunned,0,1.63519889041e-28,8.90300115238e-21,1,2,5
96,depunned,0,5.8482370011e-47,9.64923718816e-48,1,3,8
97,depunned,0,8.32071711036e-31,2.71758452697e-30,2,3,6
98,depunned,0,1.89279061846e-40,7.77567065214e-34,2,2,6
99,depunned,0,4.00450500991e-31,1.81008302075e-22,0,2,6
100,depunned,0,2.28494198002e-35,2.01823608803e-28,0,2,6
101,depunned,0,1.341704e-16,9.25925811554e-16,0,1,2
102,depunned,0,5.69710376448e-32,4.7261906609e-30,1,0,5
103,depunned,0,4.79873291657e-54,1.9155882631e-53,0,2,9
104,depunned,0,1.68435930523e-29,3.14343378278e-22,2,2,6
105,depunned,0,3.33618529037e-38,3.44497378404e-33,0,1,7
106,nonpun,0,2.13919103559e-39,8.42415545053e-41,5,1,6
107,nonpun,0,6.97571701084e-34,1.13617775153e-36,2,0,7
108,nonpun,0,3.72755878458e-40,2.32651287322e-38,6,1,8
109,nonpun,0,1.30817132168e-28,1.53452872369e-25,3,0,4
110,nonpun,0,7.65567893268e-29,6.05245617646e-27,2,0,4
111,nonpun,0,3.94497098107e-36,5.30470793357e-39,5,2,6
112,nonpun,0,1.15717466729e-23,2.37552207922e-27,4,0,6
113,nonpun,0,2.03343858875e-24,2.53607931234e-28,3,0,5
114,nonpun,0,1.31567178826e-24,4.47278645485e-26,4,3,5
115,nonpun,0,2.38671947332e-28,4.84261581081e-29,3,2,6
116,nonpun,0,2.29587725727e-18,3.20904888539e-26,4,0,5
117,nonpun,0,7.17819705172e-25,1.75353995672e-24,3,0,4
