uniqueID,sentenceType,isOrig,p_m1_given_w,p_m2_given_w, entropy
1,pun,0,7.40050698979e-06,0.999992599493,9.48297883192e-05
2,pun,0,0.0977971629972,0.902202837003,0.320215709561
3,pun,0,1.97932419108e-06,0.999998020676,2.79733020756e-05
4,pun,0,2.39166907611e-10,0.999999999761,5.53763696465e-09
5,pun,0,0.00322885898633,0.996771141014,0.0217431696365
6,pun,0,0.0377712080417,0.962228791958,0.160795061214
7,pun,0,3.85922959235e-05,0.999961407704,0.00043078413339
8,pun,0,0.999674887633,0.000325112367408,0.00293614737257
9,pun,0,0.000831142674035,0.999168857326,0.00672585037701
10,pun,0,0.164183582222,0.835816417778,0.44654255319
11,pun,0,0.999931157585,6.88424148764e-05,0.00072860444316
12,pun,0,5.83250341214e-07,0.99999941675,8.95560429721e-06
13,pun,0,6.59462741776e-05,0.999934053726,0.000700787130456
14,pun,0,8.49775165253e-07,0.999999150225,1.27281819268e-05
15,pun,0,0.216734848796,0.783265151204,0.522744193958
16,pun,0,0.000308664641801,0.999691335358,0.00280363206224
