uniqueID,sentenceType,isOrig,maxPm1,maxPm2,numWordsM1,numWordsM2
1,pun,0,9.45306509118e+113,2.35775192672e+114,4,4
2,pun,0,8.52122841575e+117,1.45100960112e+114,4,4
3,pun,0,1.73848459539e+206,1.6212246629e+207,7,7
4,pun,0,9.2356179627e+176,7.1277920141e+181,6,6
5,pun,0,1.42837476799e+151,8.13914328718e+148,5,5
6,pun,0,2.26633275966e+185,1.06569099591e+182,6,6
7,pun,0,1.3537958812e+122,6.47479404612e+121,4,4
8,pun,0,2.70533761933e+124,1.62400112948e+116,4,4
9,pun,0,6.39606226839e+177,1.41927364544e+176,6,6
10,pun,0,1.41177237432e+180,1.32658779456e+176,6,6
11,pun,0,8.6503938863e+153,1.09928936251e+145,5,5
12,pun,0,4.68446395105e+178,1.48250031267e+180,6,6
13,pun,0,4.16533428722e+202,1.16579208822e+202,7,7
14,pun,0,1.55182709746e+113,3.37076964782e+114,4,4
15,pun,0,7.65491600908e+178,5.10635065316e+174,6,6
16,pun,0,2.55260779821e+180,1.52599560888e+179,6,6
17,pun,0,8.42765862216e+243,3.63034859477e+244,8,8
18,pun,0,4.55783405324e+120,1.5486463261e+118,4,4
19,pun,0,1.78572971612e+216,3.83014446215e+215,7,7
20,pun,0,1.03046733637e+274,5.98583103261e+269,9,9
21,pun,0,4.96574646112e+90,8.96770381807e+86,3,3
22,pun,0,2.2075583393e+126,1.65128221961e+119,4,4
23,pun,0,1.9045495135e+212,1.07401309905e+212,7,7
24,pun,0,9.46189577494e+86,2.01084004467e+85,3,3
25,pun,0,4.99169414474e+214,6.3622264856e+213,7,7
26,pun,0,6.63089015254e+118,9.99238705897e+117,4,4
27,pun,0,4.69752909399e+238,5.61510032704e+233,8,8
28,pun,0,1.34125690307e+153,7.80998482015e+150,5,5
29,pun,0,1.14505291609e+176,4.47403833052e+170,6,6
30,pun,0,3.9863634046e+154,5.97168442837e+155,5,5
31,pun,0,3.28531402261e+238,1.67668169579e+232,8,8
32,pun,0,3.10901418124e+184,9.83346434992e+177,6,6
33,pun,0,1.91852350842e+174,7.56701513767e+174,6,6
34,pun,0,1.09683347429e+183,8.37859802107e+185,6,6
35,pun,0,4.30770895996e+180,3.31862825974e+181,6,6
36,pun,0,1.24703051002e+61,4.04543213162e+59,2,2
37,pun,0,6.73671685084e+151,8.19206052682e+146,5,5
38,pun,0,7.27428385385e+263,6.76148269977e+264,9,9
39,pun,0,2.22098592273e+185,1.21638586719e+186,6,6
40,pun,0,1.83046840785e+205,2.01951022388e+204,7,7
41,pun,0,2.54695150935e+147,4.39136749076e+144,5,5
42,pun,0,3.10049257401e+125,2.27474849495e+120,4,4
43,pun,0,1.31271470345e+260,3.86578024327e+259,9,9
44,pun,0,3.33209185145e+94,4.99551261511e+93,3,3
45,pun,0,1.08736870304e+193,7.10538137932e+187,6,6
46,pun,0,1.35162411987e+157,2.34736401962e+152,5,5
47,pun,0,1.4754703849e+217,2.4020365098e+211,7,7
48,pun,0,1.09418397227e+89,3.39041760144e+87,3,3
49,pun,0,4.92078463575e+127,1.09849719527e+128,4,4
50,pun,0,1.08700583734e+189,2.72116247329e+186,6,6
51,pun,0,1.36655534307e+213,1.4942631929e+210,7,7
52,pun,0,4.91473483616e+145,6.93684963499e+145,5,5
53,pun,0,1.50521911526e+122,4.80281776255e+119,4,4
54,pun,0,5.96821384813e+150,5.74985218986e+149,5,5
55,pun,0,2.06684489698e+85,7.0669517187e+91,3,3
56,pun,0,1.64279252801e+190,1.19032684734e+189,6,6
57,pun,0,3.85842393088e+219,5.65840866017e+215,7,7
58,pun,0,4.76123900151e+125,2.40274467981e+126,4,4
59,pun,0,1.20396481577e+147,3.38295713938e+142,5,5
60,pun,0,1.0829032859e+127,5.72787769645e+123,4,4
61,pun,0,1.39330569962e+123,3.43852160858e+122,4,4
62,pun,0,1.03247871637e+152,3.39767364655e+151,5,5
63,pun,0,1.78829664466e+185,8.87604159763e+179,6,6
64,pun,0,1.01743709056e+122,2.35927776702e+122,4,4
65,pun,0,1.08227322072e+291,1.70535458296e+288,9,9
66,depunned,0,3.03116921753e+113,1.09893065581e+114,4,4
67,depunned,0,1.62315342939e+118,8.72433870921e+114,4,4
68,depunned,0,1.44166368988e+206,8.02385841035e+208,7,7
69,depunned,0,2.27146014718e+176,2.53320671557e+182,6,6
70,depunned,0,2.57471346019e+149,1.28645446996e+148,5,5
