uniqueID,sentenceType,isOrig,maxPm1,maxPm2,numWordsM1,numWordsM2,numWords
1,pun,0,3.84332945763e+113,2.35775192672e+114,4,4,4
2,pun,0,3.46447293756e+117,1.45100960112e+114,4,4,4
3,pun,0,7.06815090413e+205,1.6212246629e+207,7,7,7
4,pun,0,3.75492205259e+176,7.1277920141e+181,6,6,6
5,pun,0,5.80733843402e+150,8.13914328718e+148,5,5,5
6,pun,0,9.21422138953e+184,1.06569099591e+182,6,6,6
7,pun,0,5.50412330779e+121,6.47479404612e+121,4,4,4
8,pun,0,1.09990819537e+124,1.62400112948e+116,4,4,4
9,pun,0,2.60044486014e+177,1.41927364544e+176,6,6,6
10,pun,0,5.73983813858e+179,1.32658779456e+176,6,6,6
11,pun,0,3.51698769898e+153,1.09928936251e+145,5,5,5
12,pun,0,1.90456091465e+178,1.48250031267e+180,6,6,6
13,pun,0,1.69349854386e+202,1.16579208822e+202,7,7,7
14,pun,0,6.30925814992e+112,3.37076964782e+114,4,4,4
15,pun,0,3.11225659716e+178,5.10635065316e+174,6,6,6
16,pun,0,1.03781288397e+180,1.52599560888e+179,6,6,6
17,pun,0,3.42643029842e+243,3.63034859477e+244,8,8,8
18,pun,0,1.85307704018e+120,1.5486463261e+118,4,4,4
19,pun,0,7.2602352307e+215,3.83014446215e+215,7,7,7
20,pun,0,4.1895675432e+273,5.98583103261e+269,9,9,9
21,pun,0,2.01892184905e+90,8.96770381807e+86,3,3,3
22,pun,0,8.97526242868e+125,1.65128221961e+119,4,4,4
23,pun,0,7.74332047662e+211,1.07401309905e+212,7,7,7
24,pun,0,3.84691974572e+86,2.01084004467e+85,3,3,3
25,pun,0,2.02947138995e+214,6.3622264856e+213,7,7,7
26,pun,0,2.6959187531e+118,9.99238705897e+117,4,4,4
27,pun,0,1.90987280537e+238,5.61510032704e+233,8,8,8
28,pun,0,5.45314362707e+152,7.80998482015e+150,5,5,5
29,pun,0,4.65543774481e+175,4.47403833052e+170,6,6,6
30,pun,0,1.62073441301e+154,5.97168442837e+155,5,5,5
31,pun,0,1.33570900431e+238,1.67668169579e+232,8,8,8
32,pun,0,1.2640308378e+184,9.83346434992e+177,6,6,6
33,pun,0,7.80013450022e+173,7.56701513767e+174,6,6,6
34,pun,0,4.45939212435e+182,8.37859802107e+185,6,6,6
35,pun,0,1.75138376611e+180,3.31862825974e+181,6,6,6
36,pun,0,5.07004770147e+60,4.04543213162e+59,2,2,2
37,pun,0,2.73894467781e+151,8.19206052682e+146,5,5,5
38,pun,0,2.95750311132e+263,6.76148269977e+264,9,9,9
39,pun,0,9.02985490893e+184,1.21638586719e+186,6,6,6
40,pun,0,7.44212917747e+204,2.01951022388e+204,7,7,7
41,pun,0,1.03551320853e+147,4.39136749076e+144,5,5,5
