uniqueID,sentenceType,isOrig,maxPm1,maxPm2,numWordsM1,numWordsM2,numWords
1,pun,0,7.81219046941e-26,3.35363206424e-25,3,2,4
2,pun,0,7.62027773253e-22,1.90686648289e-25,2,2,4
3,pun,0,3.15796080405e-37,2.26955908502e-36,4,2,7
4,pun,0,1.99502564215e-31,5.07572188309e-27,2,4,6
5,pun,0,1.51078756037e-23,6.17409422269e-25,3,2,5
6,pun,0,4.43122903228e-24,1.79653091518e-26,4,1,6
7,pun,0,9.53203658027e-18,6.87055387808e-18,2,3,4
8,pun,0,6.01377440812e-15,6.04744798507e-23,1,1,4
9,pun,0,8.17507238523e-31,6.97001584583e-33,2,2,6
10,pun,0,5.10861989174e-29,1.26302048592e-32,3,3,6
11,pun,0,2.02200450961e-20,5.5379012814e-29,3,0,5
12,pun,0,1.06669187938e-29,3.05145549895e-28,2,1,6
13,pun,0,2.11208856256e-40,7.38344708011e-41,2,2,7
14,pun,0,1.91638992441e-26,4.03710177701e-25,2,2,4
15,pun,0,9.59635141963e-30,6.28960271878e-34,3,1,6
16,pun,0,1.88882846734e-28,1.49522509703e-29,2,1,6
17,pun,0,1.49065188841e-33,7.37586135739e-34,1,3,8
18,pun,0,7.09948743034e-19,3.2250269749e-21,2,2,4
19,pun,0,1.99020880784e-27,1.30821981424e-27,3,2,7
20,pun,0,7.24999005476e-38,6.71369545669e-42,2,1,9
21,pun,0,1.60705495947e-14,1.39339215444e-17,2,0,3
22,pun,0,1.26410633893e-13,3.98161785564e-20,3,1,4
23,pun,0,1.00202268318e-31,4.19100474476e-31,5,3,7
24,pun,0,3.56075120559e-18,1.84424711565e-19,2,0,3
25,pun,0,7.06189850675e-29,4.44854105227e-29,4,1,7
26,pun,0,1.10969044903e-20,1.50065974759e-21,2,2,4
27,pun,0,1.01925832876e-39,1.03703344983e-43,4,1,8
28,pun,0,4.71263125855e-21,4.33554154444e-23,2,1,5
29,pun,0,1.33423805504e-32,1.24302858021e-37,3,0,6
30,pun,0,6.44998925455e-20,2.17090737949e-18,3,2,5
31,pun,0,3.14844153495e-39,7.08085878341e-46,3,3,8
32,pun,0,9.57708961847e-25,1.11631212982e-30,4,2,6
33,pun,0,1.64934864428e-34,9.69554183245e-34,3,2,6
34,pun,0,2.45598309599e-25,1.23180181248e-22,2,2,6
35,pun,0,1.70729213524e-28,6.90201732306e-27,2,2,6
36,pun,0,1.65156222453e-09,1.31779487766e-10,2,1,2
37,pun,0,1.82193817924e-22,2.08614657835e-26,3,0,5
38,pun,0,6.46046894992e-48,4.17615756704e-47,1,3,9
39,pun,0,1.39893963965e-23,3.23868935196e-22,4,2,6
40,pun,0,1.22046704863e-37,2.10797238004e-38,2,1,7
41,pun,0,3.88241201733e-27,1.12159397766e-28,4,0,5
42,pun,0,5.88292236844e-14,4.35431110433e-19,2,2,4
43,pun,0,9.95545190063e-53,3.16265775838e-52,4,3,9
44,pun,0,7.9648256592e-11,8.7326968866e-11,3,0,3
45,pun,0,8.0825384323e-16,1.25702744672e-20,2,2,6
46,pun,0,6.00666556486e-17,3.76159210431e-21,2,1,5
47,pun,0,2.10069555703e-26,2.29940180391e-31,3,1,7
48,pun,0,5.93893063278e-16,2.44075602946e-17,2,1,3
49,pun,0,7.18498775132e-12,4.10209706727e-11,2,0,4
50,pun,0,6.13660418615e-20,2.60526063664e-22,3,3,6
51,pun,0,4.49036563216e-30,2.7639827097e-33,3,4,7
