uniqueID,sentenceType,isOrig,maxPm1,maxPm2,numWordsM1,numWordsM2
1,pun,0,1.92148879835e-25,3.35363206424e-25,3,2
2,pun,0,1.87428588188e-21,1.90686648289e-25,2,2
3,pun,0,7.76733021854e-37,2.26955908502e-36,4,2
4,pun,0,4.90697127628e-31,5.07572188309e-27,2,4
5,pun,0,3.71593778378e-23,6.17409422269e-25,3,2
6,pun,0,1.0899064714e-23,1.79653091518e-26,4,1
7,pun,0,2.34450268285e-17,6.87055387808e-18,2,3
8,pun,0,1.4791498244e-14,6.04744798507e-23,1,1
9,pun,0,2.01074334726e-30,6.97001584583e-33,2,2
10,pun,0,1.25651773794e-28,1.26302048592e-32,3,3
11,pun,0,4.9733285826e-20,5.5379012814e-29,3,0
12,pun,0,2.62363866518e-29,3.05145549895e-28,2,1
13,pun,0,5.1948995995e-40,7.38344708011e-41,2,2
14,pun,0,4.71355862028e-26,4.03710177701e-25,2,2
15,pun,0,2.36032158075e-29,6.28960271878e-34,3,1
16,pun,0,4.64576837471e-28,1.49522509703e-29,2,1
17,pun,0,3.66641202238e-33,7.37586135739e-34,1,3
18,pun,0,1.74619213713e-18,3.2250269749e-21,2,2
19,pun,0,4.89512377561e-27,1.30821981424e-27,3,2
20,pun,0,1.78320980946e-37,6.71369545669e-42,2,1
21,pun,0,3.95271737811e-14,1.39339215444e-17,2,0
22,pun,0,3.10919988408e-13,3.98161785564e-20,3,1
23,pun,0,2.464578109e-31,4.19100474476e-31,5,3
24,pun,0,8.75803474332e-18,1.84424711565e-19,2,0
25,pun,0,1.73694675379e-28,4.44854105227e-29,4,1
26,pun,0,2.72939808085e-20,1.50065974759e-21,2,2
27,pun,0,2.50697095649e-39,1.03703344983e-43,4,1
28,pun,0,1.15912025053e-20,4.33554154444e-23,2,1
29,pun,0,3.28169607121e-32,1.24302858021e-37,3,0
30,pun,0,1.58644136374e-19,2.17090737949e-18,3,2
31,pun,0,7.74391659466e-39,7.08085878341e-46,3,3
32,pun,0,2.35558394214e-24,1.11631212982e-30,4,2
33,pun,0,4.05674305686e-34,9.69554183245e-34,3,2
34,pun,0,6.04074366385e-25,1.23180181248e-22,2,2
35,pun,0,4.19926104748e-28,6.90201732306e-27,2,2
36,pun,0,4.06218758572e-09,1.31779487766e-10,2,1
37,pun,0,4.48124481399e-22,2.08614657835e-26,3,0
38,pun,0,1.58901895288e-47,4.17615756704e-47,1,3
39,pun,0,3.44083628999e-23,3.23868935196e-22,4,2
40,pun,0,3.00186454989e-37,2.10797238004e-38,2,1
41,pun,0,9.54919267662e-27,1.12159397766e-28,4,0
42,pun,0,1.44696541601e-13,4.35431110433e-19,2,2
43,pun,0,2.44864604678e-52,3.16265775838e-52,4,3
44,pun,0,1.95903099712e-10,8.7326968866e-11,3,0
45,pun,0,1.98798366741e-15,1.25702744672e-20,2,2
46,pun,0,1.4774013311e-16,3.76159210431e-21,2,1
47,pun,0,5.16687732765e-26,2.29940180391e-31,3,1
48,pun,0,1.46074122613e-15,2.44075602946e-17,2,1
49,pun,0,1.76722182268e-11,4.10209706727e-11,2,0
50,pun,0,1.50936107482e-19,2.60526063664e-22,3,3
51,pun,0,1.10445172791e-29,2.7639827097e-33,3,4
52,pun,0,3.48158592029e-28,2.25343523127e-28,3,1
53,pun,0,3.64334385088e-17,1.1068338739e-19,3,1
54,pun,0,1.14301417086e-23,2.49790003362e-24,5,2
55,pun,0,2.17244360124e-19,4.15486069691e-13,2,2
56,pun,0,2.21383565034e-18,7.95434731906e-20,4,1
57,pun,0,1.80308340397e-23,4.1632226706e-27,3,1
58,pun,0,1.34999220045e-13,4.68248667057e-13,2,1
59,pun,0,7.95112155363e-27,9.7542055481e-31,3,0
60,pun,0,1.84616139193e-12,1.1321293972e-15,2,2
61,pun,0,5.84967642082e-16,1.11329055201e-16,2,1
62,pun,0,5.89520894565e-22,2.15156316791e-22,3,1
63,pun,0,2.84608066455e-23,1.97660181135e-28,4,0
64,pun,0,2.03389760595e-17,3.48076669247e-17,2,2
65,pun,0,1.07150399488e-20,1.6543038912e-24,3,3
66,depunned,0,6.53156116575e-26,1.19122224906e-25,2,2
67,depunned,0,7.26822221625e-21,1.14652232881e-24,1,2
68,depunned,0,1.11456158742e-36,1.14315605813e-34,3,3
69,depunned,0,2.47615807114e-31,1.60297914641e-26,1,4
70,depunned,0,1.19829024179e-24,4.68776791775e-26,2,3
71,depunned,0,4.19260282518e-19,2.93419727551e-32,4,1
72,depunned,0,5.92717777558e-23,8.61837273824e-24,1,2
73,depunned,0,1.96808322104e-08,2.37776041962e-17,2,0
74,depunned,0,1.59676549826e-28,1.05662523486e-30,1,1
75,depunned,0,2.87226311849e-25,9.51293744532e-29,2,3
76,depunned,0,5.10757597603e-22,3.42049321311e-30,2,0
77,depunned,0,4.89631619657e-29,2.0225889527e-27,1,1
78,depunned,0,3.87477080905e-31,8.48239150886e-32,1,3
79,depunned,0,3.69868802018e-27,7.87699336801e-26,1,3
80,depunned,0,1.04273167013e-32,1.53155887418e-36,2,2
81,depunned,0,1.49006142864e-24,3.64470245136e-26,1,1
82,depunned,0,3.66641202238e-33,7.37586135739e-34,1,3
83,depunned,0,3.00846857491e-21,1.36437036503e-23,1,2
84,depunned,0,9.59290242734e-28,1.57631267465e-27,2,2
85,depunned,0,2.20405133732e-32,5.76840873386e-36,1,1
86,depunned,0,3.0299337192e-14,3.26764796157e-17,1,0
87,depunned,0,4.42675127614e-13,8.89166431275e-20,3,2
88,depunned,0,4.57228393316e-31,2.44784347924e-30,5,3
89,depunned,0,6.86023969275e-20,1.49035398292e-20,1,1
90,depunned,0,1.67745391409e-28,7.35248784198e-28,1,0
91,depunned,0,4.08051562099e-21,1.10896211856e-21,1,2
92,depunned,0,7.03184174961e-40,1.36909189644e-43,4,1
93,depunned,0,4.53685151625e-21,1.69695147857e-23,2,1
94,depunned,0,1.18144887955e-33,1.84524151592e-38,2,0
95,depunned,0,6.5459005108e-23,8.90300115238e-21,2,2
96,depunned,0,2.34112056933e-41,9.64923718816e-48,2,3
97,depunned,0,3.33088449989e-25,2.71758452697e-30,3,3
98,depunned,0,7.57707160205e-35,7.77567065214e-34,3,2
99,depunned,0,1.60305217571e-25,1.81008302075e-22,1,2
100,depunned,0,9.14690131082e-30,2.01823608803e-28,1,2
101,depunned,0,5.37100468356e-11,9.25925811554e-16,1,1
102,depunned,0,2.28062009219e-26,4.7261906609e-30,2,0
103,depunned,0,1.92099128944e-48,1.9155882631e-53,1,2
104,depunned,0,6.74269564462e-24,3.14343378278e-22,3,2
105,depunned,0,1.33551564427e-32,3.44497378404e-33,1,1
106,nonpun,0,8.56344251132e-34,8.42415545053e-41,6,1
107,nonpun,0,2.79246456271e-28,1.13617775153e-36,3,0
108,nonpun,0,1.49218722537e-34,2.32651287322e-38,7,1
109,nonpun,0,5.23676928415e-23,1.53452872369e-25,4,0
110,nonpun,0,3.06466160966e-23,6.05245617646e-27,3,0
111,nonpun,0,1.57921997817e-30,5.30470793357e-39,6,2
112,nonpun,0,4.63231126816e-18,2.37552207922e-27,5,0
113,nonpun,0,8.14010257398e-19,2.53607931234e-28,4,0
114,nonpun,0,5.26679456631e-19,4.47278645485e-26,5,3
115,nonpun,0,9.55432902453e-23,4.84261581081e-29,4,2
116,nonpun,0,9.19067655881e-13,3.20904888539e-26,5,0
117,nonpun,0,2.87351979157e-19,1.75353995672e-24,4,0
118,nonpun,0,2.21696855431e-24,2.77453514706e-27,1,0
119,nonpun,0,4.15844106658e-29,4.76100256386e-35,3,0
120,nonpun,0,2.14640580151e-14,4.3109471803e-23,4,1
121,nonpun,0,2.86654415795e-07,1.3672169165e-13,3,0
122,nonpun,0,2.61794789396e-13,4.04941861797e-18,1,2
123,nonpun,0,7.87752887188e-20,2.37365569446e-29,4,0
124,nonpun,0,1.89222393727e-08,1.84539653025e-20,3,0
125,nonpun,0,2.78885464281e-21,2.08579998945e-31,5,1
126,nonpun,0,2.00291233951e-30,6.2503406579e-38,5,0
127,nonpun,0,1.17624686963e-11,9.26748862338e-24,5,1
128,nonpun,0,8.4633985848e-17,4.65346199082e-24,3,0
129,nonpun,0,1.0063551626e-26,7.29145814642e-32,2,0
130,nonpun,0,7.04275449197e-13,2.98923399536e-16,2,1
131,nonpun,0,6.39757296993e-15,1.40252623449e-24,4,0
132,nonpun,0,7.21905189423e-20,5.61896654338e-31,3,0
133,nonpun,0,5.0445390201e-23,6.31184869826e-35,3,0
134,nonpun,0,3.38747662472e-26,4.68588367694e-32,4,1
135,nonpun,0,1.88212826387e-25,2.21141596454e-32,5,1
136,nonpun,0,3.5329858618e-34,3.13395225055e-42,5,0
137,nonpun,0,1.86753412145e-15,3.30749925483e-26,4,0
138,nonpun,0,1.45376224178e-27,1.95421760306e-29,5,1
139,nonpun,0,6.37487728768e-19,3.43453025181e-22,5,2
140,nonpun,0,6.93256655954e-15,1.89376004481e-19,2,1
141,nonpun,0,3.63651085614e-18,3.27572308237e-27,5,0
142,nonpun,0,0.000112635029994,5.19252405891e-12,2,0
143,nonpun,0,3.94297881252e-28,1.46142124787e-27,1,1
144,nonpun,0,6.39624880949e-24,1.44204049269e-32,5,0
145,nonpun,0,1.8487518438e-15,5.14700857584e-26,4,0
146,nonpun,0,1.93234015862e-18,9.43040346198e-24,3,0
147,nonpun,0,2.47817914084e-09,4.69544992868e-14,2,0
148,nonpun,0,1.20760749451e-20,2.8370431784e-28,3,0
149,nonpun,0,1.56663691302e-07,6.07638894579e-13,2,0
150,nonpun,0,1.42390878156e-17,1.36913251424e-23,2,1
151,nonpun,0,1.42119549332e-10,5.17824e-19,2,0
152,nonpun,0,4.78339026792e-10,4.85181498365e-20,3,0
153,nonpun,0,1.19274475325e-10,1.22794379015e-13,2,0
154,nonpun,0,1.55862576205e-23,2.98272213434e-32,4,1
155,nonpun,0,1.56948457094e-20,9.60390116854e-23,3,1
156,nonpun,0,1.89324797315e-21,5.89299643496e-23,2,1
157,nonpun,0,3.61145069483e-07,3.47395655562e-12,2,0
158,nonpun,0,4.16224739406e-13,2.03452029736e-20,3,2
159,nonpun,0,1.1108501053e-08,1.00858252155e-15,3,1
160,nonpun,0,5.29141056793e-15,1.73708810565e-19,2,1
161,nonpun,0,8.39994717845e-05,2.19218795071e-08,2,1
162,nonpun,0,7.16264647374e-13,1.86547400787e-20,4,0
163,nonpun,0,2.07179924344e-13,1.47695764078e-16,3,0
164,nonpun,0,2.10423621853e-17,8.34015885952e-23,3,0
165,nonpun,0,1.2862820799e-12,1.256742e-20,3,0
166,nonpun,0,1.1518524161e-14,1.61373531051e-21,2,1
167,nonpun,0,6.20160939831e-14,2.25971560188e-16,2,0
168,nonpun,0,5.41899830153e-13,9.89904317197e-18,3,0
169,nonpun,0,1.72137855653e-15,3.43752034756e-23,3,0
170,nonpun,0,1.31063807076e-11,2.497072914e-22,2,0
171,nonpun,0,7.11052128033e-18,6.1750909811e-28,6,0
172,nonpun,0,3.74920735342e-10,3.3582796024e-22,3,0
173,nonpun,0,9.63006211764e-12,8.28976426117e-23,2,0
174,nonpun,0,2.75482600562e-14,1.78266553334e-29,1,0
175,nonpun,0,3.30569422559e-22,4.1105884993e-38,4,0
176,nonpun,0,2.29597920383e-13,6.67876310739e-20,3,1
177,nonpun,0,8.37180355668e-09,9.73577931342e-25,4,1
178,nonpun,0,1.235808279e-11,3.74460492e-14,2,0
179,nonpun,0,2.02345643129e-24,6.19315871898e-35,4,0
180,nonpun,0,8.0317091184e-13,9.43146820386e-19,3,2
181,nonpun,0,2.21596900403e-29,6.02457205985e-35,4,0
182,nonpun,0,4.91975990736e-09,1.03215666953e-19,4,0
183,nonpun,0,2.95794308164e-09,4.60640813856e-23,3,0
184,nonpun,0,4.57676030912e-13,8.02199618769e-29,4,0
185,nonpun,0,7.57408411706e-15,4.16081842583e-27,4,0
186,nonpun,0,8.00033067291e-12,4.88797814736e-24,4,0
187,nonpun,0,4.86061213108e-05,2.82570183201e-20,3,0
188,nonpun,0,1.29104851212e-20,3.38017320994e-32,2,0
189,nonpun,0,8.21969530328e-18,6.58475601838e-24,2,0
190,nonpun,0,9.33038356497e-07,1.47814739707e-15,1,0
191,nonpun,0,4.34062244206e-10,1.45505712196e-20,3,0
192,nonpun,0,6.23302163079e-20,7.18706808182e-25,1,1
193,nonpun,0,1.13473151923e-09,2.46264912249e-16,3,0
194,nonpun,0,7.04990259995e-12,2.33972278837e-21,4,0
195,nonpun,0,1.73406571866e-11,6.0653755086e-22,4,0
196,nonpun,0,8.60005043357e-09,2.6352935467e-20,2,0
197,nonpun,0,3.55590419281e-24,1.55209861241e-30,1,0
198,nonpun,0,2.79613878892e-17,8.20061208303e-28,2,0
199,nonpun,0,1.59305573885e-08,2.29284726345e-21,3,1
200,nonpun,0,4.33053398554e-12,2.40722668288e-20,2,1
201,nonpun,0,1.73571393337e-24,6.78170487161e-33,5,0
202,nonpun,0,2.21161676326e-11,1.04340504791e-23,3,1
203,nonpun,0,8.30051709579e-06,1.59140051158e-19,3,0
204,nonpun,0,4.36643766328e-15,5.05599621613e-28,5,0
205,nonpun,0,8.66620640424e-22,8.8317471392e-34,5,0
206,nonpun,0,6.8363291241e-17,8.2749706434e-25,1,0
207,nonpun,0,3.66569896483e-14,1.24999736144e-24,5,0
208,nonpun,0,3.53890153394e-14,2.90412578567e-31,4,0
209,nonpun,0,2.15272573335e-15,2.10738052073e-26,1,0
210,nonpun,0,6.07095959639e-25,1.46866507648e-35,2,0
211,nonpun,0,1.90884032638e-06,1.982784375e-20,1,0
212,nonpun,0,2.0451720217e-10,2.43970309981e-25,3,0
213,nonpun,0,1.82890620336e-18,9.65265388747e-31,4,2
214,nonpun,0,9.08459016823e-05,7.67816290582e-16,2,0
215,nonpun,0,3.37246257151e-10,2.82787194466e-20,4,0
216,nonpun,0,1.7781843081e-20,4.58241735839e-28,3,0
217,nonpun,0,8.18740460219e-10,6.16206871194e-17,2,0
218,nonpun,0,0.000475688132659,4.145103e-17,2,0
219,nonpun,0,8.64463551107e-05,1.06331398821e-18,1,0
220,nonpun,0,5.62270287334e-08,2.36227957613e-21,3,1
221,nonpun,0,3.68618808377e-20,6.9784374007e-34,5,0
222,nonpun,0,3.29756526332e-11,1.19190862617e-18,4,0
223,nonpun,0,1.81692280183e-13,2.7822435984e-25,3,0
224,nonpun,0,1.4180138057e-19,2.7495074685e-34,2,0
225,nonpun,0,2.4793633229e-13,1.55428245063e-33,3,1
226,nonpun,0,9.24150590919e-14,6.56009173926e-24,5,2
227,nonpun,0,9.98959990406e-11,6.6375578107e-20,4,0
228,nonpun,0,6.19387266955e-06,5.3888274e-18,2,0
229,nonpun,0,2.85020540353e-10,9.42696864352e-19,1,0
230,nonpun,0,1.81804740749e-08,1.02949087971e-20,5,0
231,nonpun,0,6.98127126702e-15,3.50529524243e-25,4,0
232,nonpun,0,4.92903902929e-25,2.84754477801e-37,5,0
233,nonpun,0,1.25217262744e-11,3.394335728e-23,3,0
234,nonpun,0,1.54880920532e-15,1.62846656766e-27,4,1
235,nonpun,0,3.93842603183e-15,1.09475879557e-22,5,0
