uniqueID,sentenceType,isOrig,KL,minKL
1,pun,0,9.00759833586e-22,2.84471478134e-22
2,pun,0,3.93404252462e-22,1.51410795677e-22
3,pun,0,1.99371048778e-21,7.41435871402e-22
4,pun,0,3.38417909518e-21,9.47540410973e-22
5,pun,0,1.24853205637e-21,1.83746684475e-22
6,pun,0,8.94653594279e-22,-2.66357801211e-22
7,pun,0,1.21102766318e-21,1.97255133506e-22
8,pun,0,5.89111397618e-22,2.76666648322e-22
9,pun,0,8.78077643632e-22,7.37825637805e-23
10,pun,0,4.72167919505e-22,5.84653299237e-23
11,pun,0,1.16690472818e-21,6.8793645697e-23
12,pun,0,1.42350009293e-21,6.05834548522e-22
13,pun,0,1.04215737752e-21,4.52334659651e-22
14,pun,0,1.3286707812e-21,4.08646372044e-22
15,pun,0,1.18090759744e-21,4.57720435379e-22
16,pun,0,5.73172189472e-22,2.21813683742e-22
17,pun,0,1.44461023716e-21,-3.20734369302e-22
18,pun,0,1.08729145938e-21,4.52526628138e-22
19,pun,0,1.16066872818e-21,1.00902018832e-22
20,pun,0,6.98765094703e-22,1.31836968246e-22
21,pun,0,7.55161731687e-22,-1.98039737747e-22
22,pun,0,8.35190609247e-22,-2.24776751833e-22
23,pun,0,1.80843802279e-21,2.35138102661e-23
24,pun,0,9.23249829458e-22,-1.51515432321e-23
25,pun,0,1.45864570631e-21,-1.09764390965e-22
26,pun,0,1.59714622098e-21,6.54184606869e-22
27,pun,0,1.74079971934e-21,-1.12917966137e-22
28,pun,0,8.11988103575e-22,1.99701212827e-22
29,pun,0,7.79797478602e-22,-1.03135863745e-22
30,pun,0,1.14850442906e-21,1.37371440419e-22
31,pun,0,2.13924119381e-21,5.83361696806e-22
32,pun,0,2.60103668958e-21,8.52757232841e-22
33,pun,0,2.27177521253e-21,8.26577425235e-22
34,pun,0,1.40641334875e-21,5.15300662455e-22
35,pun,0,8.59361234963e-22,5.69205069767e-23
36,pun,0,3.34785600897e-22,-6.38962692116e-23
37,pun,0,1.30988750178e-21,-2.45187587399e-22
38,pun,0,1.89858368206e-21,3.16925249078e-22
39,pun,0,3.33092332991e-21,1.03932695097e-21
40,pun,0,1.80536565059e-21,6.92861887366e-22
41,pun,0,2.90957567876e-21,-2.23575833358e-22
42,pun,0,1.7609913884e-21,7.13726467351e-22
43,pun,0,2.33895875427e-21,4.27740167008e-22
44,pun,0,1.67193323662e-21,-2.13033967055e-22
45,pun,0,1.30882398748e-21,1.86475689098e-22
46,pun,0,2.50313215853e-21,7.9143995722e-22
47,pun,0,1.10674259314e-21,1.68280590208e-23
48,pun,0,4.58398168161e-22,2.12365481031e-22
49,pun,0,1.33327524709e-21,1.02817738005e-22
50,pun,0,4.34655975545e-22,7.59108070338e-23
51,pun,0,2.81362588184e-21,1.35296990288e-21
52,pun,0,9.07305790281e-22,2.41998475917e-22
53,pun,0,9.071296673e-22,2.09425250612e-22
54,pun,0,1.1999742672e-21,-2.88138595372e-22
