uniqueID,sentenceType,sumKL,sumSupport,sumBalance,numContextCombos
1,pun,3.98533451834e-05,4.74338450462e-20,80327.4134268,49
2,pun,0.000590128950675,-9.3173624198e-21,1164483.48889,49
3,pun,0.0103369088634,-6.6339620429e-17,1001541.33659,3969
4,pun,0.00146055002063,-5.89805981832e-17,9304.30514407,961
5,pun,0.000100904913821,-3.18484388168e-19,1424340.89403,225
6,pun,0.0308962277894,-1.01643953671e-19,2572192.48519,961
7,pun,1.93513510853e-05,6.93889390391e-18,3532.35943659,49
8,pun,8.63568731911e-05,9.74087889342e-21,759688.487279,49
9,pun,0.00113882903329,4.48508180736e-17,294489.245527,961
10,pun,0.097651395651,-7.9604156383e-18,5286200.29995,961
11,pun,0.197653499751,4.60785923306e-18,74274.5502271,225
12,pun,0.0014552432824,2.53262851229e-18,2486736.72654,961
13,pun,0.000105581535177,-6.87334149472e-19,53591016.1422,3969
14,pun,1.17398359615e-05,3.38813178902e-20,146608.803816,49
15,pun,0.00401981781049,3.16684443155e-19,8415957.74354,961
16,pun,0.00653098544319,1.61410598429e-17,355307.779306,961
17,pun,0.00106061383571,-3.62595682951e-15,1595827.91194,16129
18,pun,0.000119226223678,-3.81694221856e-20,609481.386061,49
19,pun,0.117393946222,2.14823437291e-18,19877173.5273,3969
20,pun,0.305664325197,-3.19570774097e-17,717493937.235,65025
21,pun,1.80750682039e-05,-4.23516473627e-22,313502.049245,9
22,pun,0.0395190578441,1.08420217249e-19,25590.1649462,49
23,pun,0.278293946563,6.36130213717e-17,15524947.1899,3969
24,pun,0.000363035159084,0.0,123768.226755,9
25,pun,0.0480996288805,-3.16014757731e-18,32466727.1903,3969
26,pun,0.000608277076282,-1.35525271561e-20,130797.982289,49
27,pun,1.8937457943,3.45920632362e-16,11973564.1585,16129
28,pun,0.00094367067419,3.72694496792e-19,939789.590137,225
29,pun,0.00103151074786,-3.22401915549e-19,22154572.7087,961
30,pun,0.0118478972462,-4.40457132572e-20,1621342.6744,225
31,pun,0.297136962678,1.58002349607e-16,89595806.7353,16129
32,pun,0.0259951310916,1.10453096322e-18,3598943.61834,961
33,pun,0.00705054937725,8.64380182014e-17,109323.861847,961
34,pun,0.00174110073878,3.71339244076e-18,2335924.71024,961
35,pun,9.71334645438e-05,3.20813728773e-20,20023484.5985,961
36,pun,0.0,0.0,27491.0784708,1
37,pun,0.0216201074444,-3.1170812459e-19,1032218.69622,225
38,pun,0.0778737094,-1.80745660697e-16,554589076.722,65025
39,pun,0.0569689866028,-1.65855827336e-16,219481.835181,961
40,pun,0.00760005926937,-1.44812193734e-18,74891904.6601,3969
41,pun,0.0312752411191,1.27393755267e-18,49945.8887178,225
42,pun,0.0142966926402,-7.04731412116e-19,30757.4452462,49
43,pun,0.0365675891701,1.19587833806e-16,934440620.589,65025
44,pun,0.0069630678751,-2.16840434497e-19,1987.77364759,9
45,pun,0.230897840038,-2.3317122972e-17,1203344.47912,961
46,pun,0.0026242064346,7.39459762953e-19,1683104.13344,225
47,pun,0.575412603987,5.38712954454e-19,2115971.93934,3969
48,pun,2.84174208854e-05,4.23516473627e-22,93796.3206968,9
49,pun,0.00186642215419,7.04731412116e-19,5877.35736191,49
50,pun,0.00551478209181,-9.45606406491e-19,2309964.70834,961
