pairID,sentenceID,sentenceType,homophoneID,version,m1,word,condition,dummy
155,27,pun,27,a,screaming,arranged,14,1
203,36,pun,36,a,yams,movie,14,1
251,44,pun,44,a,auntie,upped,14,1
299,55,pun,55,a,crank,people,14,1
347,62,pun,62,a,prism,years,14,1
395,69,pun,69,a,glittering,only,14,1
443,79,pun,79,a,espresso,know,14,1
491,87,pun,7,b,purchase,contest,14,1
539,97,pun,17,b,free,pet,14,1
587,104,pun,24,b,pock,marks,14,1
635,113,pun,33,b,twist,secret,14,1
683,121,pun,41,b,slave,boss,14,1
731,131,pun,51,b,been,selling,14,1
779,139,pun,59,b,traumatic,stress,14,1
827,147,pun,67,b,insider,convicted,14,1
875,156,pun,76,b,offer,required,14,1
923,166,nonpun,6,a,ambiance,charm,14,1
971,182,nonpun,22,a,sperm,donate,14,1
1019,193,nonpun,33,a,tryst,country,14,1
1067,204,nonpun,44,a,auntie,sister,14,1
1115,218,nonpun,58,a,dramatic,works,14,1
1163,232,nonpun,72,a,necks,neck,14,1
1211,245,nonpun,5,b,closing,remarks,14,1
1259,259,nonpun,19,b,salvation,prayed,14,1
1307,272,nonpun,32,b,liable,property,14,1
1355,285,nonpun,45,b,future,happen,14,1
1403,299,nonpun,59,b,traumatic,incident,14,1
1451,313,nonpun,73,b,destruction,causes,14,1
1452,161,nonpun,1,a,line,lion's,14,1
1453,163,nonpun,3,a,sillier,projections,14,1
1454,165,nonpun,5,a,closing,basic,14,1
1455,167,nonpun,7,a,purchase,sides,14,1
1456,169,nonpun,9,a,mass,school,14,1
1457,172,nonpun,12,a,special,house,14,1
1458,174,nonpun,14,a,scissors,caesar,14,1
1459,176,nonpun,16,a,blue,week ,14,1
1460,180,nonpun,20,a,office,mouth,14,1
1461,184,nonpun,24,a,pock,end,14,1
1462,185,nonpun,25,a,bones,company,14,1
1463,186,nonpun,26,a,habit,hobbits,14,1
1464,188,nonpun,28,a,holmes,electrical,14,1
1465,191,nonpun,31,a,late,like,14,1
1466,192,nonpun,32,a,liable,star,14,1
1467,194,nonpun,34,a,profane,gas,14,1
1468,196,nonpun,36,a,lambs,turkey,14,1
1469,199,nonpun,39,a,raving,black,14,1
1470,200,nonpun,40,a,alcohol,ph,14,1
1471,202,nonpun,42,a,aching,fame,14,1
1472,203,nonpun,43,a,irritation,land,14,1
1473,206,nonpun,46,a,tell,soil,14,1
1474,209,nonpun,49,a,help,very,14,1
1475,211,nonpun,51,a,been,lima,14,1
1476,213,nonpun,53,a,lot,desk,14,1
1477,214,nonpun,54,a,best,flies,14,1
1478,217,nonpun,57,a,decay,pretty,14,1
1479,219,nonpun,59,a,traumatic,structure,14,1
1480,222,nonpun,62,a,prison,split,14,1
1481,225,nonpun,65,a,resolution,industrial,14,1
1482,226,nonpun,66,a,pants,live,14,1
1483,228,nonpun,68,a,minds,imitating,14,1
1484,231,nonpun,71,a,presents,general,14,1
1485,234,nonpun,74,a,cream,uses,14,1
1486,235,nonpun,75,a,see,away,14,1
1487,237,nonpun,77,a,sauce,having,14,1
1488,239,nonpun,79,a,express,dinner,14,1
1489,241,nonpun,1,b,lion,printed,14,1
1490,244,nonpun,4,b,heir,cat,14,1
1491,246,nonpun,6,b,ambiance,car,14,1
1492,248,nonpun,8,b,reword,hard,14,1
1493,251,nonpun,11,b,wicker,man,14,1
1494,253,nonpun,13,b,whirled,fly,14,1
1495,256,nonpun,16,b,bloom,yellow,14,1
1496,258,nonpun,18,b,fillings,criticism,14,1
1497,261,nonpun,21,b,braille,posted,14,1
1498,262,nonpun,22,b,sperm,together,14,1
1499,264,nonpun,24,b,epoch,smallpox,14,1
1500,267,nonpun,27,b,screaming,movie,14,1
1501,269,nonpun,29,b,kant,time,14,1
1502,272,nonpun,32,b,libel,state,14,1
1503,273,nonpun,33,b,tryst,needle,14,1
1504,276,nonpun,36,b,yams,leg,14,1
1505,278,nonpun,38,b,magnate,paper,14,1
1506,281,nonpun,41,b,shave,boss,14,1
1507,283,nonpun,43,b,irrigation,tried,14,1
1508,284,nonpun,44,b,auntie,house,14,1
1509,286,nonpun,46,b,till,night,14,1
1510,289,nonpun,49,b,alp,homework,14,1
1511,291,nonpun,51,b,bean,saw,14,1
1512,294,nonpun,54,b,pest,student,14,1
1513,296,nonpun,56,b,leg,until,14,1
1514,298,nonpun,58,b,grammatic,car,14,1
1515,300,nonpun,60,b,hosta,attitude,14,1
1516,303,nonpun,63,b,fridge,trains,14,1
1517,304,nonpun,64,b,thief,chief ,14,1
1518,307,nonpun,67,b,incisor,trading,14,1
1519,309,nonpun,69,b,glittering,pay,14,1
1520,312,nonpun,72,b,necks,late,14,1
1521,314,nonpun,74,b,ream,butter,14,1
1522,316,nonpun,76,b,author,give,14,1
1523,318,nonpun,78,b,paste,company,14,1
14,3,pun,3,a,cilia,symmetrical,15,1
62,11,pun,11,a,wicker,getting,15,1
110,21,pun,21,a,braille,ashley,15,1
158,28,pun,28,a,ohms,stay,15,1
206,36,pun,36,a,yams,called,15,1
254,45,pun,45,a,fuchsia,resolution,15,1
302,55,pun,55,a,crank,work,15,1
350,63,pun,63,a,fridge,explained,15,1
398,70,pun,70,a,altitude,pilot,15,1
446,80,pun,80,a,scents,$20000,15,1
494,89,pun,9,b,mass,rubber,15,1
542,97,pun,17,b,free,dog,15,1
590,105,pun,25,b,bones,worked,15,1
638,113,pun,33,b,twist,plot,15,1
686,121,pun,41,b,slave,beards,15,1
734,131,pun,51,b,been,those,15,1
782,140,pun,60,b,hostile,club,15,1
830,148,pun,68,b,minds,burglars,15,1
878,156,pun,76,b,offer,made,15,1
926,167,nonpun,7,a,perches,sunny,15,1
974,183,nonpun,23,a,grime,covered,15,1
1022,194,nonpun,34,a,propane,burns,15,1
1070,206,nonpun,46,a,till,farmers,15,1
1118,219,nonpun,59,a,grammatic,unusual,15,1
1166,234,nonpun,74,a,ream,office,15,1
1214,246,nonpun,6,b,ambulance,came,15,1
1262,260,nonpun,20,b,office,skyscraper,15,1
1310,273,nonpun,33,b,twist,thread,15,1
1358,286,nonpun,46,b,tell,child,15,1
1406,300,nonpun,60,b,hostile,driver,15,1
1454,313,nonpun,73,b,destruction,trees,15,1
1455,161,nonpun,1,a,line,share,15,1
1456,163,nonpun,3,a,sillier,surface,15,1
1457,165,nonpun,5,a,closing,necessities,15,1
1458,167,nonpun,7,a,purchase,roofs,15,1
1459,170,nonpun,10,a,steeler,hearts,15,1
1460,172,nonpun,12,a,special,plans,15,1
1461,174,nonpun,14,a,scissors,employees,15,1
1462,177,nonpun,17,a,free,dog,15,1
