pairID,uniqueID,sentenceID,homophoneVersion,homophoneID,sentenceType,wordPairVersion,m1,word,m1_relatedness,m2_relatedness,unigram
1,1,1,a,1,pun,m1,lion,circus,1.377983027,-0.630542589,5.69E-06
2,1,1,a,1,pun,m1,lion,truck,-0.657045944,-0.412135754,8.84E-06
3,1,1,a,1,pun,m1,lion,driver,-1.042229239,0.006942127,4.16E-05
4,1,1,a,1,pun,m1,lion,refused,-0.803420041,-0.599020207,5.00E-05
5,1,1,a,1,pun,m1,lion,tow,-0.878076745,-0.226590203,3.32E-06
6,2,2,a,2,pun,m1,tooth,dentist,1.62355512,-0.565572904,4.45E-06
7,2,2,a,2,pun,m1,tooth,tell,-0.768492084,0.804145346,0.00023301
8,2,2,a,2,pun,m1,tooth,patient,0.111725948,-0.432490434,6.59E-05
9,2,2,a,2,pun,m1,tooth,whole,-0.322992663,0.752346196,0.000240294
10,3,3,a,3,pun,m1,cilia,handlebar,-0.820549264,-0.742520611,3.41E-07
11,3,3,a,3,pun,m1,cilia,mustache,-0.010195246,-0.297709011,5.69E-08
12,3,3,a,3,pun,m1,cilia,look,-0.923160237,-0.675208967,0.00041849
13,3,3,a,3,pun,m1,cilia,ridiculous,-0.950474383,1.151378004,1.43E-05
14,3,3,a,3,pun,m1,cilia,symmetrical,-0.360338435,-0.683703022,2.69E-06
15,3,3,a,3,pun,m1,cilia,eyelashes,-0.040038203,-0.681557747,1.36E-06
16,3,3,a,3,pun,m1,cilia,even,-0.929999881,-0.727122625,0.000706388
17,4,4,a,4,pun,m1,heir,man,0.502701118,1.063789627,0.000473597
18,4,4,a,4,pun,m1,heir,used,-0.58932926,-0.569021165,0.000527346
19,4,4,a,4,pun,m1,heir,money,1.381728734,-0.374102282,0.000292629
20,4,4,a,4,pun,m1,heir,inherited,1.404774565,-0.190257313,1.23E-05
21,4,4,a,4,pun,m1,heir,late,0.17890769,-0.845278073,0.000157232
22,4,4,a,4,pun,m1,heir,father,0.721817788,-0.413880798,0.000182887
23,4,4,a,4,pun,m1,heir,put,-0.62358598,-0.378372875,0.000461753
24,4,4,a,4,pun,m1,heir,addition,-0.382613152,-0.450466895,8.02E-05
25,4,4,a,4,pun,m1,heir,house,-0.575083639,-0.768492084,0.000395396
26,4,4,a,4,pun,m1,heir,extension,-0.431374827,0.793788593,2.82E-05
27,5,5,a,5,pun,m1,clothing,men's,0.854047774,-0.864343966,1.71E-07
28,5,5,a,5,pun,m1,clothing,wear,1.273718445,-0.628833021,4.04E-05
29,5,5,a,5,pun,m1,clothing,store,1.517614712,-0.019507567,3.49E-05
30,5,5,a,5,pun,m1,clothing,opening,-0.389128151,1.277368953,6.12E-05
31,5,5,a,5,pun,m1,clothing,times,-0.535653622,0.429658664,0.000235099
32,6,6,a,6,pun,m1,ambiance,paramedic,-0.892589298,0.382651093,3.09E-07
33,6,6,a,6,pun,m1,ambiance,got,-0.57113356,-0.863688194,0.000691414
34,6,6,a,6,pun,m1,ambiance,new,-0.360169455,-0.906119465,0.000999228
