uniqueID,homophoneVersion,homophoneID,sentenceType,m1,word,m1_relatedness,m2_relatedness,unigram,m1_trigram,m2_trigram,dummy
1,a,1,pun,lion,lion,0,0,9.62E-06,3.25E-05,0.211981,1
1,a,1,pun,lion,circus,1.377983027,-0.630542589,5.69E-06,2.82E-05,2.82E-05,1
1,a,1,pun,lion,truck,-0.657045944,-0.412135754,8.84E-06,6.36E-06,6.36E-06,1
1,a,1,pun,lion,driver,-1.042229239,0.006942127,4.16E-05,0.0283825,0.0283825,1
1,a,1,pun,lion,refused,-0.803420041,-0.599020207,5.00E-05,0.000654927,0.000654927,1
1,a,1,pun,lion,tow,-0.878076745,-0.226590203,3.32E-06,7.02E-06,7.02E-06,1
2,a,2,pun,tooth,tooth,0,0,5.14E-06,8.22E-06,0.00633237,1
2,a,2,pun,tooth,dentist,1.62355512,-0.565572904,4.45E-06,2.27E-05,2.27E-05,1
2,a,2,pun,tooth,tell,-0.768492084,0.804145346,0.00023301,0.00258572,0.00258572,1
2,a,2,pun,tooth,patient,0.111725948,-0.432490434,6.59E-05,0.000173539,0.000173539,1
2,a,2,pun,tooth,whole,-0.322992663,0.752346196,0.000240294,0.00147051,0.00147051,1
3,a,3,pun,cilia,cilia,0,0,2.93E-07,1.55E-07,6.71E-08,1
3,a,3,pun,cilia,handlebar,-0.820549264,-0.742520611,3.41E-07,1.16E-06,1.16E-06,1
3,a,3,pun,cilia,mustache,-0.010195246,-0.297709011,5.69E-08,0.831402,0.831402,1
3,a,3,pun,cilia,look,-0.923160237,-0.675208967,0.00041849,0.00319111,0.00319111,1
3,a,3,pun,cilia,ridiculous,-0.950474383,1.151378004,1.43E-05,0.000685713,0.000685713,1
3,a,3,pun,cilia,symmetrical,-0.360338435,-0.683703022,2.69E-06,1.38E-07,1.38E-07,1
3,a,3,pun,cilia,eyelashes,-0.040038203,-0.681557747,1.36E-06,2.23E-06,2.23E-06,1
3,a,3,pun,cilia,even,-0.929999881,-0.727122625,0.000706388,0.00095727,0.00095727,1
4,a,4,pun,heir,heir,0,0,7.75E-06,0.000247423,3.76E-06,1
4,a,4,pun,heir,man,0.502701118,1.063789627,0.000473597,0.00439232,0.00439232,1
4,a,4,pun,heir,used,-0.58932926,-0.569021165,0.000527346,0.00107986,0.00107986,1
4,a,4,pun,heir,money,1.381728734,-0.374102282,0.000292629,7.36E-05,7.36E-05,1
4,a,4,pun,heir,inherited,1.404774565,-0.190257313,1.23E-05,0.00114214,0.00114214,1
4,a,4,pun,heir,late,0.17890769,-0.845278073,0.000157232,0.000102507,0.000102507,1
4,a,4,pun,heir,father,0.721817788,-0.413880798,0.000182887,0.0596654,0.0596654,1
4,a,4,pun,heir,put,-0.62358598,-0.378372875,0.000461753,0.000412531,0.000412531,1
4,a,4,pun,heir,addition,-0.382613152,-0.450466895,8.02E-05,0.000109647,0.000109647,1
4,a,4,pun,heir,house,-0.575083639,-0.768492084,0.000395396,0.000857988,0.000857988,1
4,a,4,pun,heir,extension,-0.431374827,0.793788593,2.82E-05,3.65E-06,0.000176939,1
5,a,5,pun,clothing,clothing,0,0,1.72E-05,3.22E-05,0.355764,1
5,a,5,pun,clothing,men's,0.854047774,-0.864343966,1.71E-07,1.50E-05,1.50E-05,1
5,a,5,pun,clothing,wear,1.273718445,-0.628833021,4.04E-05,0.000220822,0.000220822,1
5,a,5,pun,clothing,store,1.517614712,-0.019507567,3.49E-05,0.00012587,0.00012587,1
5,a,5,pun,clothing,opening,-0.389128151,1.277368953,6.12E-05,4.96E-06,4.96E-06,1
5,a,5,pun,clothing,times,-0.535653622,0.429658664,0.000235099,1.45E-05,0.00744207,1
6,a,6,pun,ambiance,ambiance,0,0,9.75E-08,5.32E-08,0.000524477,1
