pairID,uniqueID,sentenceID,homophoneVersion,homophoneID,sentenceType,wordPairVersion,m1,word,m1_relatedness,m2_relatedness,dummy
1,1,1,a,1,pun,m1,lion,circus,1.377983027,-0.630542589,1
2,1,1,a,1,pun,m1,lion,truck,-0.657045944,-0.412135754,1
3,1,1,a,1,pun,m1,lion,driver,-1.042229239,0.006942127,1
4,1,1,a,1,pun,m1,lion,refused,-0.803420041,-0.599020207,1
5,1,1,a,1,pun,m1,lion,tow,-0.878076745,-0.226590203,1
6,2,2,a,2,pun,m1,tooth,dentist,1.62355512,-0.565572904,1
7,2,2,a,2,pun,m1,tooth,tell,-0.768492084,0.804145346,1
8,2,2,a,2,pun,m1,tooth,patient,0.111725948,-0.432490434,1
9,2,2,a,2,pun,m1,tooth,whole,-0.322992663,0.752346196,1
10,3,3,a,3,pun,m1,cilia,handlebar,-0.820549264,-0.742520611,1
11,3,3,a,3,pun,m1,cilia,mustache,-0.010195246,-0.297709011,1
12,3,3,a,3,pun,m1,cilia,look,-0.923160237,-0.675208967,1
13,3,3,a,3,pun,m1,cilia,ridiculous,-0.950474383,1.151378004,1
14,3,3,a,3,pun,m1,cilia,symmetrical,-0.360338435,-0.683703022,1
15,3,3,a,3,pun,m1,cilia,eyelashes,-0.040038203,-0.681557747,1
16,3,3,a,3,pun,m1,cilia,even,-0.929999881,-0.727122625,1
17,4,4,a,4,pun,m1,heir,man,0.502701118,1.063789627,1
18,4,4,a,4,pun,m1,heir,used,-0.58932926,-0.569021165,1
19,4,4,a,4,pun,m1,heir,money,1.381728734,-0.374102282,1
20,4,4,a,4,pun,m1,heir,inherited,1.404774565,-0.190257313,1
21,4,4,a,4,pun,m1,heir,late,0.17890769,-0.845278073,1
22,4,4,a,4,pun,m1,heir,father,0.721817788,-0.413880798,1
23,4,4,a,4,pun,m1,heir,put,-0.62358598,-0.378372875,1
24,4,4,a,4,pun,m1,heir,addition,-0.382613152,-0.450466895,1
25,4,4,a,4,pun,m1,heir,house,-0.575083639,-0.768492084,1
26,4,4,a,4,pun,m1,heir,extension,-0.431374827,0.793788593,1
27,5,5,a,5,pun,m1,clothing,men's,0.854047774,-0.864343966,1
28,5,5,a,5,pun,m1,clothing,wear,1.273718445,-0.628833021,1
29,5,5,a,5,pun,m1,clothing,store,1.517614712,-0.019507567,1
30,5,5,a,5,pun,m1,clothing,opening,-0.389128151,1.277368953,1
31,5,5,a,5,pun,m1,clothing,times,-0.535653622,0.429658664,1
32,6,6,a,6,pun,m1,ambiance,paramedic,-0.892589298,0.382651093,1
33,6,6,a,6,pun,m1,ambiance,got,-0.57113356,-0.863688194,1
34,6,6,a,6,pun,m1,ambiance,new,-0.360169455,-0.906119465,1
35,6,6,a,6,pun,m1,ambiance,job,-0.696788693,0.562416838,1
36,6,6,a,6,pun,m1,ambiance,chauffeur,-0.314530643,-0.390131783,1
37,6,6,a,6,pun,m1,ambiance,driver,-0.543925855,0.841903822,1
38,7,7,a,7,pun,m1,perches,pet,0.543119058,-0.331846317,1
39,7,7,a,7,pun,m1,perches,store,-0.725018344,1.273688022,1
40,7,7,a,7,pun,m1,perches,bird,1.191686169,-0.501370858,1
41,7,7,a,7,pun,m1,perches,contest,-0.590919012,-0.562537662,1
42,7,7,a,7,pun,m1,perches,necessary,-0.823158985,0.120207237,1
43,8,8,a,8,pun,m1,reword,pun,-0.071790798,-0.787863724,1
44,9,9,a,9,pun,m1,math,rubber,-0.748391508,-0.582838844,1
45,9,9,a,9,pun,m1,math,band,-0.876819151,-0.749418744,1
46,9,9,a,9,pun,m1,math,pistol,-0.820549264,-0.736901481,1
47,9,9,a,9,pun,m1,math,confiscated,-0.577110797,-0.812923943,1
48,9,9,a,9,pun,m1,math,algebra,1.85746101,-0.518226951,1
49,9,9,a,9,pun,m1,math,class,1.118197093,-0.250535633,1
50,9,9,a,9,pun,m1,math,weapon,-0.317952911,0.460125844,1
51,9,9,a,9,pun,m1,math,disruption,-0.861675739,0.20398117,1
52,10,10,a,10,pun,m1,stealer,thief,1.548432432,0.538072559,1
53,10,10,a,10,pun,m1,stealer,stole,1.694467811,0.789595372,1
54,10,10,a,10,pun,m1,stealer,cutlery,-0.608574651,-0.228020166,1
55,10,10,a,10,pun,m1,stealer,leaving,-0.696696471,-0.827171198,1
56,10,10,a,10,pun,m1,stealer,clue,-0.367417642,-0.296696232,1
57,10,10,a,10,pun,m1,stealer,called,-0.73993729,-0.835115108,1
58,10,10,a,10,pun,m1,stealer,stainless,-0.72768653,-0.09379566,1
59,11,11,a,11,pun,m1,wicker,getting,-0.802963762,-0.791296213,1
60,11,11,a,11,pun,m1,wicker,pranked,-0.945886353,0.291268252,1
61,11,11,a,11,pun,m1,wicker,friends,-0.929679135,-0.555701691,1
62,11,11,a,11,pun,m1,wicker,getting,-0.645101213,-0.696201398,1
63,11,11,a,11,pun,m1,wicker,hit,-0.818366589,0.114935389,1
64,11,11,a,11,pun,m1,wicker,basket,1.40920629,-0.680156607,1
65,11,11,a,11,pun,m1,wicker,aron,-0.878076745,-0.754020104,1
66,11,11,a,11,pun,m1,wicker,knew,-0.853144038,-0.869254404,1
67,11,11,a,11,pun,m1,wicker,sense,-0.674633301,-0.379664444,1
68,11,11,a,11,pun,m1,wicker,humor,-0.696201398,0.643750513,1
69,12,12,a,12,pun,m1,spatial,aliens,-0.331103175,-0.179464204,1
70,12,12,a,12,pun,m1,spatial,lovable,-0.587589366,0.657898682,1
71,13,13,a,13,pun,m1,whirled,astronaut,-0.177755161,1.200440109,1
72,13,13,a,13,pun,m1,whirled,gets,-0.753138191,-0.625352039,1
73,13,13,a,13,pun,m1,whirled,take,-0.7778778,-0.602837689,1
74,13,13,a,13,pun,m1,whirled,turn,1.733512144,0.32137873,1
75,13,13,a,13,pun,m1,whirled,traveler,-0.69952321,1.104669659,1
76,14,14,a,14,pun,m1,caesars,young,-0.130802016,-0.574533178,1
77,14,14,a,14,pun,m1,caesars,boy,-0.347430465,-0.205619209,1
78,14,14,a,14,pun,m1,caesars,brutus',1.099729391,-0.870360782,1
