uniqueID,sentenceType,isOrig,normal,support,balance
106,nonpun,0,0,5.766869589,5.766869589
107,nonpun,0,0,6.059634369,6.059634369
108,nonpun,0,0,8.208052088,8.208052088
109,nonpun,0,0,5.469726805,5.469726805
110,nonpun,0,0,3.31768673,3.31768673
111,nonpun,0,0,6.817060011,6.817060011
112,nonpun,0,0,3.375012635,3.375012635
113,nonpun,0,0,4.325294979,4.325294979
114,nonpun,0,0,5.992286711,2.538254117
115,nonpun,0,0,1.353508252,1.167745328
116,nonpun,0,0,5.335478302,5.335478302
117,nonpun,0,0,3.038943648,3.038943648
118,nonpun,0,0,2.773123592,1.134812338
119,nonpun,0,0,2.755038077,2.755038077
120,nonpun,0,0,4.507410575,4.507410575
121,nonpun,0,0,3.111356793,3.111356793
122,nonpun,0,0,2.106733029,2.106733029
123,nonpun,0,0,5.026931727,5.026931727
124,nonpun,0,0,3.84673293,3.84673293
125,nonpun,0,0,5.065520715,5.065520715
126,nonpun,0,0,5.178597933,5.178597933
127,nonpun,0,0,3.744843729,3.744843729
128,nonpun,0,0,3.57231188,3.57231188
129,nonpun,0,0,4.937902202,2.660411602
130,nonpun,0,0,0.588922661,0.006172159
131,nonpun,0,0,4.565258282,4.565258282
132,nonpun,0,0,3.242288853,3.242288853
133,nonpun,0,0,2.243670992,2.243670992
134,nonpun,0,0,3.946325132,3.946325132
135,nonpun,0,0,3.049543176,3.049543176
136,nonpun,0,0,4.091365599,4.091365599
137,nonpun,0,0,5.123021898,5.123021898
138,nonpun,0,0,4.295076364,4.295076364
139,nonpun,0,0,4.719646619,4.719646619
140,nonpun,0,0,0.063987464,0.063987464
141,nonpun,0,0,6.777294013,6.777294013
142,nonpun,0,0,2.393831734,2.393831734
143,nonpun,0,0,2.67118273,2.1123251
144,nonpun,0,0,8.894717061,8.894717061
145,nonpun,0,0,5.571193251,5.571193251
146,nonpun,0,0,3.908257735,3.908257735
147,nonpun,0,0,2.771769819,2.771769819
148,nonpun,0,0,4.502947045,4.502947045
149,nonpun,0,0,1.877469937,1.877469937
150,nonpun,0,0,2.181055289,2.181055289
151,nonpun,0,0,1.267848355,1.267848355
152,nonpun,0,0,2.892058141,2.892058141
153,nonpun,0,0,2.036393523,2.036393523
154,nonpun,0,0,4.588292753,4.588292753
155,nonpun,0,0,2.810872345,2.810872345
156,nonpun,0,0,1.535355407,1.395140043
157,nonpun,0,0,1.186973101,1.186973101
158,nonpun,0,0,3.174121915,0.753725419
159,nonpun,0,0,3.41247264,3.41247264
160,nonpun,0,0,0.825982997,0.825982997
161,nonpun,0,0,1.010652794,0.406608402
162,nonpun,0,0,5.19771932,5.19771932
163,nonpun,0,0,2.805018553,2.805018553
164,nonpun,0,0,2.280601683,2.280601683
165,nonpun,0,0,3.336404432,3.336404432
166,nonpun,0,0,0.793109436,0.793109436
167,nonpun,0,0,1.562537472,1.562537472
168,nonpun,0,0,3.111682912,3.111682912
169,nonpun,0,0,3.340985883,3.340985883
170,nonpun,0,0,2.361972335,2.361972335
171,nonpun,0,0,8.21984716,8.21984716
172,nonpun,0,0,4.98929172,4.98929172
173,nonpun,0,0,2.327044293,1.518675417
174,nonpun,0,0,5.471559907,0.111924709
175,nonpun,0,0,6.304517388,6.304517388
176,nonpun,0,0,1.956747041,1.956747041
177,nonpun,0,0,4.138197888,4.138197888
178,nonpun,0,0,1.056358176,1.056358176
179,nonpun,0,0,4.586835041,4.586835041
180,nonpun,0,0,1.892564749,0.765645267
181,nonpun,0,0,2.698978108,2.676225696
182,nonpun,0,0,4.736854966,4.736854966
183,nonpun,0,0,1.795919996,1.795919996
184,nonpun,0,0,5.314586636,5.314586636
185,nonpun,0,0,4.036214016,4.036214016
