uniquePairID,uniqueID,sentenceID,homophoneID,phoneticID,sentenceType,isOrig,homophone,word,h1_relatedness,h2_relatedness,dummy
0,1,1,1-a,1,pun,0,prophet,prophet,0,0,0
15,1,1,1-a,1,pun,0,prophet,atheism,0.043975327,-0.293007439,0
26,1,1,1-a,1,pun,0,prophet,non,-0.650018431,0.76452703,0
27,1,1,1-a,1,pun,0,prophet,organization,0.123608176,1.344302809,0
0,2,2,2-a,2,pun,0,pi,pi,0,0,0
30,2,2,2-a,2,pun,0,pi,circumference,1.110707202,1.192320265,0
33,2,2,2-a,2,pun,0,pi,get,-0.532050103,-0.213873793,0
34,2,2,2-a,2,pun,0,pi,large,-0.196874277,0.203214357,0
0,3,3,3-a,3,pun,0,knead,knead,0,0,0
55,3,3,3-a,3,pun,0,knead,bakers,1.643374608,-0.430311199,0
56,3,3,3-a,3,pun,0,knead,basis,-0.724020559,0.363879125,0
57,3,3,3-a,3,pun,0,knead,bread,1.618475041,-0.10745158,0
63,3,3,3-a,3,pun,0,knead,know,-0.664626706,-0.08894483,0
68,3,3,3-a,3,pun,0,knead,recipes,1.004924966,-0.181518542,0
70,3,3,3-a,3,pun,0,knead,trade,-0.58008783,0.499910519,0
0,4,4,4-a,4,pun,0,oar,oar,0,0,0
89,4,4,4-a,4,pun,0,oar,choose,-0.51196844,1.166963655,0
92,4,4,4-a,4,pun,0,oar,either,-0.745201312,1.802274457,0
94,4,4,4-a,4,pun,0,oar,indecisive,-0.736316505,0.924511546,0
95,4,4,4-a,4,pun,0,oar,not,-0.73898887,0.061294261,0
98,4,4,4-a,4,pun,0,oar,rower,1.833928909,-0.722767904,0
0,5,5,5-a,5,pun,0,tiers,tiers,0,0,0
127,5,5,5-a,5,pun,0,tiers,cake,0.847840122,-0.733195769,0
129,5,5,5-a,5,pun,0,tiers,emotional,-0.093719285,1.613409237,0
130,5,5,5-a,5,pun,0,tiers,even,-0.21256834,-0.643260403,0
138,5,5,5-a,5,pun,0,tiers,wedding,0.363679868,1.167013135,0
0,6,6,6-a,6,pun,0,poll,poll,0,0,0
153,6,6,6-a,6,pun,0,poll,conduct,0.79637133,-0.131050615,0
155,6,6,6-a,6,pun,0,poll,country,-0.020817463,-0.441639232,0
156,6,6,6-a,6,pun,0,poll,decided,0.888379398,-0.438823318,0
157,6,6,6-a,6,pun,0,poll,flag,0.519522756,1.600043247,0
159,6,6,6-a,6,pun,0,poll,new,-0.30941208,-0.573021617,0
