uniqueID,sentenceType,isOrig,KL
1,pun,0,4.99532582197
2,pun,0,4.23235906364
3,pun,0,6.69094347514
4,pun,0,8.35891534133
5,pun,0,5.55355730114
6,pun,0,5.07432789869
7,pun,0,5.86838486248
8,pun,0,4.49528006027
9,pun,0,4.71720926531
10,pun,0,4.44669831029
11,pun,0,5.51778849956
12,pun,0,5.53370224837
13,pun,0,4.80709910493
14,pun,0,5.69624307844
15,pun,0,5.21542079401
16,pun,0,4.48266263214
17,pun,0,5.64509241956
18,pun,0,5.35491535869
19,pun,0,5.43849854911
20,pun,0,4.77622163537
21,pun,0,4.78329495644
22,pun,0,5.12527000194
23,pun,0,6.5523939109
24,pun,0,5.29710529362
25,pun,0,5.70103591554
26,pun,0,5.91843262016
27,pun,0,6.04977416379
28,pun,0,4.84712371038
29,pun,0,4.92755439349
30,pun,0,5.59846713522
31,pun,0,6.75393118061
32,pun,0,7.54006080569
33,pun,0,7.01209760406
34,pun,0,5.67276244147
35,pun,0,4.76555397288
36,pun,0,4.1692714062
37,pun,0,5.41802895462
38,pun,0,6.26428821934
39,pun,0,8.15373999472
40,pun,0,5.86600411844
41,pun,0,7.81349990128
42,pun,0,6.16184206648
43,pun,0,6.93854937668
44,pun,0,6.27845717274
45,pun,0,5.62688932398
46,pun,0,7.15628600841
47,pun,0,5.54253181517
48,pun,0,4.25603023759
49,pun,0,5.66032531234
50,pun,0,4.317398859
51,pun,0,7.61629735036
52,pun,0,4.98828184573
53,pun,0,5.39803169467
54,pun,0,5.57275438067
55,pun,0,4.31716468589
56,pun,0,5.66470888407
57,pun,0,5.73178005766
58,pun,0,4.87138668599
59,pun,0,5.4421153608
60,pun,0,6.23608817684
61,pun,0,5.47340161067
62,pun,0,5.45568862086
63,pun,0,5.54863620462
64,pun,0,5.72818917653
65,pun,0,6.67572547408
66,depunned,0,4.96745496026
67,depunned,0,4.59774368308
68,depunned,0,5.49287803995
69,depunned,0,6.99286208091
70,depunned,0,5.04441416981
